Gene stable ID,Chromosome/scaffold name,Gene name
ENSG00000203411,15,AC090519.2
ENSG00000225579,13,EDNRB-AS1
ENSG00000124205,20,EDN3
ENSG00000128917,15,DLL4
ENSG00000180777,18,ANKRD30B
ENSG00000101144,20,BMP7
ENSG00000179935,20,LINC00652
ENSG00000215474,18,SKOR2
ENSG00000261230,HG243_PATCH,CPSF1
ENSG00000188394,9,GPR21
ENSG00000172785,9,CBWD1
ENSG00000225427,13,LINC00331
ENSG00000239120,20,AL121761.1
ENSG00000230323,21,LINC00159
ENSG00000261610,21,AP000265.1
ENSG00000227256,21,MIS18A-AS1
ENSG00000227354,13,RBM26-AS1
ENSG00000227676,13,LINC01068
ENSG00000229011,13,LINC01038
ENSG00000229175,13,LINC00382
ENSG00000132635,20,PCED1A
ENSG00000238197,21,PAXBP1-AS1
ENSG00000175387,18,SMAD2
ENSG00000226317,13,LINC00351
ENSG00000104043,15,ATP8B4
ENSG00000165209,9,STRBP
ENSG00000261297,HG243_PATCH,SLC39A4
ENSG00000182511,15,FES
ENSG00000170113,15,NIPA1
ENSG00000228824,13,MIR4500HG
ENSG00000074410,15,CA12
ENSG00000229443,13,LINC00433
ENSG00000087495,20,PHACTR3
ENSG00000234660,13,LINC00440
ENSG00000226037,13,LINC01040
ENSG00000067900,18,ROCK1
ENSG00000230455,9,BMS1P14
ENSG00000261446,13,LINC00559
ENSG00000128965,15,CHAC1
ENSG00000260313,HG243_PATCH,VPS28
ENSG00000234384,13,LINC01049
ENSG00000215417,13,MIR17HG
ENSG00000124104,20,SNX21
ENSG00000232885,13,GPC5-AS2
ENSG00000236240,13,GPC5-IT1
ENSG00000235984,13,GPC5-AS1
ENSG00000237945,21,LINC00649
ENSG00000260716,HG243_PATCH,TONSL
ENSG00000101146,20,RAE1
ENSG00000264804,18,AC098848.1
ENSG00000215305,20,VPS16
ENSG00000259974,20,LINC00261
ENSG00000265151,20,AL158175.1
ENSG00000261772,HG858_PATCH,IQSEC3
ENSG00000256492,20,AL118508.1
ENSG00000233746,20,LINC00656
ENSG00000142192,21,APP
ENSG00000101473,20,ACOT8
ENSG00000128908,15,INO80
ENSG00000140284,15,SLC27A2
ENSG00000213742,20,ZNF337-AS1
ENSG00000256222,20,MTRNR2L3
ENSG00000132819,20,RBM38
ENSG00000107099,9,DOCK8
ENSG00000119522,9,DENND1A
ENSG00000125804,20,FAM182A
ENSG00000141449,18,GREB1L
ENSG00000166265,21,CYYR1
ENSG00000196074,20,SYCP2
ENSG00000231806,9,PCAT7
ENSG00000140287,15,HDC
ENSG00000132958,13,TPTE2
ENSG00000140455,15,USP3
ENSG00000184828,18,ZBTB7C
ENSG00000154734,21,ADAMTS1
ENSG00000227456,21,LINC00310
ENSG00000106689,9,LHX2
ENSG00000233354,20,LINC00028
ENSG00000235313,20,HM13-IT1
ENSG00000230613,20,HM13-AS1
ENSG00000252330,18,AC105105.1
ENSG00000265736,20,AL049539.1
ENSG00000154736,21,ADAMTS5
ENSG00000261739,15,GOLGA8S
ENSG00000196199,13,MPHOSPH8
ENSG00000264308,20,AL121897.1
ENSG00000231825,HSCHR6_MHC_SSTO,PRRC2A
ENSG00000198547,20,C20orf203
ENSG00000178997,15,EXD1
ENSG00000203438,9,AL512625.1
ENSG00000156239,21,N6AMT1
ENSG00000196547,15,MAN2A2
ENSG00000107104,9,KANK1
ENSG00000175611,9,LINC00476
ENSG00000121390,13,PSPC1
ENSG00000238638,9,AL353626.1
ENSG00000174450,15,GOLGA6L2
ENSG00000225194,9,LINC00092
ENSG00000231795,20,ITCH-IT1
ENSG00000119408,9,NEK6
ENSG00000137090,9,DMRT1
ENSG00000104064,15,GABPB1
ENSG00000179455,15,MKRN3
ENSG00000249214,15,AC022558.1
ENSG00000265367,9,AL160269.1
ENSG00000134030,18,CTIF
ENSG00000236830,21,CBR3-AS1
ENSG00000132950,13,ZMYM5
ENSG00000128322,22,IGLL1
ENSG00000198862,21,LTN1
ENSG00000182636,15,NDN
ENSG00000132801,20,ZSWIM3
ENSG00000136930,9,PSMB7
ENSG00000185823,15,NPAP1
ENSG00000173253,9,DMRT2
ENSG00000168612,20,ZSWIM1
ENSG00000124092,20,CTCFL
ENSG00000187446,15,CHP1
ENSG00000261921,HG325_PATCH,HYAL2
ENSG00000260384,HG989_PATCH,SERINC2
ENSG00000265923,HG962_PATCH,PGM5-AS1
ENSG00000149634,20,SPATA25
ENSG00000124257,20,NEURL2
ENSG00000261887,HG1063_PATCH,C5orf30
ENSG00000215781,GL000195.1,AC011043.1
ENSG00000104147,15,OIP5
ENSG00000227647,HSCHR6_MHC_MANN,HCG9
ENSG00000156253,21,RWDD2B
ENSG00000262860,HSCHR19_1_CTG3_1,LSM14A
ENSG00000136931,9,NR5A1
ENSG00000101665,18,SMAD7
ENSG00000196227,20,FAM217B
ENSG00000132670,20,PTPRA
ENSG00000262485,HG325_PATCH,TUSC2
ENSG00000132825,20,PPP1R3D
ENSG00000236227,HSCHR6_MHC_MCF,BRD2
ENSG00000128739,15,SNRPN
ENSG00000260130,HG19_PATCH,MYOM2
ENSG00000148200,9,NR6A1
ENSG00000124215,20,CDH26
ENSG00000159496,22,RGL4
ENSG00000224958,9,PGM5-AS1
ENSG00000064601,20,CTSA
ENSG00000244879,15,GABPB1-AS1
ENSG00000185585,9,OLFML2A
ENSG00000241832,22,CECR3
ENSG00000196756,20,SNHG17
ENSG00000156256,21,USP16
ENSG00000231573,HSCHR6_MHC_SSTO,HCG25
ENSG00000141446,18,ESCO1
ENSG00000267483,HG748_PATCH,RBFOX3
ENSG00000121741,13,ZMYM2
ENSG00000137804,15,NUSAP1
ENSG00000197361,15,FBXL22
ENSG00000269220,22,LINC00528
ENSG00000204706,9,MAMDC2-AS1
ENSG00000268364,9,SMC5-AS1
ENSG00000080503,9,SMARCA2
ENSG00000136942,9,RPL35
ENSG00000230141,HSCHR6_MHC_MCF,HLA-DOA
ENSG00000263005,HG325_PATCH,RASSF1
ENSG00000237646,21,HLCS-IT1
ENSG00000262762,HG748_PATCH,CBX2
ENSG00000229396,HSCHR6_MHC_SSTO,DAXX
ENSG00000136950,9,ARPC5L
ENSG00000270116,21,AP001429.1
ENSG00000176659,20,C20orf197
ENSG00000228677,21,TTC3-AS1
ENSG00000262572,HG748_PATCH,CBX8
ENSG00000233764,22,Z95114.4
ENSG00000261891,HG325_PATCH,SEMA3B-AS1
ENSG00000230366,21,DSCR9
ENSG00000174365,20,SNHG11
ENSG00000187792,22,ZNF70
ENSG00000167088,18,SNRPD1
ENSG00000128218,22,VPREB3
ENSG00000138592,15,USP8
ENSG00000179242,20,CDH4
ENSG00000260355,HG14_PATCH,ZNF716
ENSG00000136935,9,GOLGA1
ENSG00000173281,8,PPP1R3B
ENSG00000103657,15,HERC1
ENSG00000158201,18,ABHD3
ENSG00000238064,HSCHR6_MHC_MCF,HCG25
ENSG00000262635,HSCHR4_1_CTG12,TDO2
ENSG00000168384,HSCHR6_MHC_MCF,HLA-DPA1
ENSG00000250479,22,CHCHD10
ENSG00000124253,20,PCK1
ENSG00000272948,21,AP001412.1
ENSG00000121743,13,GJA3
ENSG00000273210,21,AP001437.1
ENSG00000263238,HSCHR4_1_CTG12,CTSO
ENSG00000141627,18,DYM
ENSG00000165474,13,GJB2
ENSG00000140553,15,UNC45A
ENSG00000102309,X,PIN4
ENSG00000225937,9,PCA3
ENSG00000099953,22,MMP11
ENSG00000056678,HSCHR6_MHC_MCF,KIFC1
ENSG00000261923,HG873_PATCH,PDE3B
ENSG00000273032,22,DGCR9
ENSG00000121742,13,GJB6
ENSG00000173611,9,SCAI
ENSG00000156261,21,CCT8
ENSG00000273173,15,SNURF
ENSG00000173273,8,TNKS
ENSG00000130699,20,TAF4
ENSG00000147852,9,VLDLR
ENSG00000186871,X,ERCC6L
ENSG00000266074,HG271_PATCH,BAHCC1
ENSG00000165475,13,CRYL1
ENSG00000179676,18,LINC00305
ENSG00000035664,15,DAPK2
ENSG00000137806,15,NDUFAF1
ENSG00000230763,HSCHR6_MHC_MCF,HLA-DPB1
ENSG00000099956,22,SMARCB1
ENSG00000198034,X,RPS4X
ENSG00000177576,18,C18orf32
ENSG00000223806,21,LINC00114
ENSG00000229005,20,HNF4A-AS1
ENSG00000262968,HG873_PATCH,CYP2R1
ENSG00000125787,20,GNRH2
ENSG00000119414,9,PPP6C
ENSG00000137815,15,RTF1
ENSG00000233348,HSCHR6_MHC_SSTO,BAG6
ENSG00000101752,18,MIB1
ENSG00000124256,20,ZBP1
ENSG00000273311,22,DGCR11
ENSG00000257034,22,AL021707.2
ENSG00000203583,22,AL021707.1
ENSG00000099958,22,DERL3
ENSG00000168263,9,KCNV2
ENSG00000125901,20,MRPS26
ENSG00000229986,21,AP001042.1
ENSG00000101405,20,OXT
ENSG00000203346,20,AL162458.1
ENSG00000149657,20,LSM14B
ENSG00000170236,15,USP50
ENSG00000101200,20,AVP
ENSG00000136933,9,RABEPK
ENSG00000267807,HG271_PATCH,ACTG1
ENSG00000222586,15,AC010999.1
ENSG00000102100,X,SLC35A2
ENSG00000247982,15,LINC00926
ENSG00000236499,22,LINC00896
ENSG00000032742,13,IFT88
ENSG00000237373,21,BRWD1-IT1
ENSG00000238141,21,BRWD1-AS1
ENSG00000044574,9,HSPA5
ENSG00000263770,20,AL031666.1
ENSG00000156265,21,MAP3K7CL
ENSG00000214265,15,SNURF
ENSG00000124225,20,PMEPA1
ENSG00000175806,8,MSRA
ENSG00000235621,20,LINC00494
ENSG00000237050,HSCHR6_MHC_MANN,TRIM31-AS1
ENSG00000172458,13,IL17D
ENSG00000028528,15,SNX1
ENSG00000240924,HSCHR6_MHC_MANN,HCG17
ENSG00000271086,9,NAMA
ENSG00000133460,22,SLC2A11
ENSG00000092439,15,TRPM7
ENSG00000169762,4,TAPT1
ENSG00000265681,18,RPL17
ENSG00000102096,X,PIM2
ENSG00000236709,9,DAPK1-IT1
ENSG00000177410,20,ZFAS1
ENSG00000101182,20,PSMA7
ENSG00000114062,15,UBE3A
ENSG00000230660,HSCHR6_MHC_MANN,HCG18
ENSG00000156273,21,BACH1
ENSG00000124237,20,C20orf85
ENSG00000080298,9,RFX3
ENSG00000215983,15,AC092756.1
ENSG00000100979,20,PLTP
ENSG00000137825,15,ITPKA
ENSG00000132953,13,XPO4
ENSG00000265106,22,Z93241.1
ENSG00000186416,X,NKRF
ENSG00000185019,20,UBOX5
ENSG00000068308,X,OTUD5
ENSG00000123908,8,AGO2
ENSG00000224508,HSCHR6_MHC_MANN,MDC1-AS1
ENSG00000187954,8,CYHR1
ENSG00000125931,X,CITED1
ENSG00000228762,HSCHR6_MHC_MANN,HCG20
ENSG00000240972,22,MIF
ENSG00000141448,18,GATA6
ENSG00000215251,20,FASTKD5
ENSG00000229170,HSCHR6_MHC_MANN,LINC00243
ENSG00000237894,HSCHR6_MHC_MANN,HCG22
ENSG00000062524,15,LTK
ENSG00000223843,22,EFCAB6-AS1
ENSG00000133433,22,GSTT2B
ENSG00000088899,20,LZTS3
ENSG00000212710,18,CTAGE1
ENSG00000226422,HSCHR6_MHC_MANN,PSORS1C3
ENSG00000226496,21,LINC00323
ENSG00000238148,HSCHR6_MHC_MANN,HCG27
ENSG00000264247,18,LINC00909
ENSG00000107249,9,GLIS3
ENSG00000262933,HG873_PATCH,CALCA
ENSG00000150457,13,LATS2
ENSG00000099974,22,DDTL
ENSG00000184647,8,PRSS55
ENSG00000230844,X,ZNF674-AS1
ENSG00000234300,22,LINC00229
ENSG00000198171,20,DDRGK1
ENSG00000235641,9,LINC00484
ENSG00000099977,22,DDT
ENSG00000225563,20,AC006076.1
ENSG00000231836,HSCHR6_MHC_MANN,LINC01149
ENSG00000266256,18,LINC00683
ENSG00000224975,X,INE1
ENSG00000184402,20,SS18L1
ENSG00000150459,13,SAP18
ENSG00000145321,4,GC
ENSG00000215750,GL000194.1,AC145212.1
ENSG00000231647,HSCHR6_MHC_MANN,DDX39B-AS1
ENSG00000183638,8,RP1L1
ENSG00000203463,HSCHR6_MHC_MANN,SLC44A4
ENSG00000231711,22,LINC00899
ENSG00000171060,8,C8orf74
ENSG00000171189,21,GRIK1
ENSG00000204250,9,LINC00587
ENSG00000225725,8,FAM66E
ENSG00000125877,20,ITPA
ENSG00000165219,9,GAPVD1
ENSG00000101670,18,LIPG
ENSG00000165480,13,SKA3
ENSG00000171056,8,SOX7
ENSG00000106688,9,SLC1A1
ENSG00000266349,15,AC018618.1
ENSG00000172007,4,RAB33B
ENSG00000258724,8,SOX7
ENSG00000101773,18,RBBP8
ENSG00000138600,15,SPPL2A
ENSG00000184508,15,HDDC3
ENSG00000124209,20,RAB22A
ENSG00000235754,HSCHR6_MHC_SSTO,APOM
ENSG00000157734,15,SNX22
ENSG00000185015,8,CA13
ENSG00000260305,15,NTRK3-AS1
ENSG00000254093,8,PINX1
ENSG00000167702,8,KIFC2
ENSG00000166965,15,RCCD1
ENSG00000166794,15,PPIB
ENSG00000249348,4,UGDH-AS1
ENSG00000145391,4,SETD7
ENSG00000226103,HSCHR6_MHC_SSTO,C6orf47
ENSG00000221172,8,AC091096.1
ENSG00000235590,20,GNAS-AS1
ENSG00000171044,8,XKR6
ENSG00000225745,21,PLAC4
ENSG00000170006,4,TMEM154
ENSG00000180776,13,ZDHHC20
ENSG00000224388,21,BACE2-IT1
ENSG00000103932,15,RPAP1
ENSG00000267064,X,UXT-AS1
ENSG00000124164,20,VAPB
ENSG00000101181,20,MTG2
ENSG00000102057,X,KCND1
ENSG00000228605,HSCHR6_MHC_SSTO,GPANK1
ENSG00000169989,4,TIGD4
ENSG00000106686,9,SPATA6L
ENSG00000215346,8,AF131215.5
ENSG00000145348,4,TBCK
ENSG00000246662,8,LINC00535
ENSG00000099991,22,CABIN1
ENSG00000251173,4,UCHL1-AS1
ENSG00000088836,20,SLC4A11
ENSG00000265317,15,AC103740.1
ENSG00000253893,8,FAM85B
ENSG00000206190,15,ATP10A
ENSG00000104643,8,MTMR9
ENSG00000165487,13,MICU2
ENSG00000246339,8,EXTL3-AS1
ENSG00000261126,18,RBFADN
ENSG00000264952,X,AC004000.1
ENSG00000224281,X,SLC25A5-AS1
ENSG00000198901,15,PRC1
ENSG00000164144,4,ARFIP1
ENSG00000259196,8,HMBOX1-IT1
ENSG00000268066,X,FMR1-AS1
ENSG00000235708,HSCHR6_MHC_MCF,COL11A2
ENSG00000167315,18,ACAA2
ENSG00000198768,20,APCDD1L
ENSG00000237232,21,ZNF295-AS1
ENSG00000231037,HSCHR6_MHC_MANN,HCG25
ENSG00000183090,4,FREM3
ENSG00000102678,13,FGF9
ENSG00000085871,4,MGST2
ENSG00000182378,X,PLCXD1
ENSG00000264535,4,AC093788.1
ENSG00000106993,9,CDC37L1
ENSG00000225431,21,AP001626.1
ENSG00000259248,15,USP3-AS1
ENSG00000099994,22,SUSD2
ENSG00000169744,4,LDB2
ENSG00000238068,X,ZNF630-AS1
ENSG00000169118,15,CSNK1G1
ENSG00000156299,21,TIAM1
ENSG00000081014,15,AP4E1
ENSG00000102683,13,SGCG
ENSG00000119487,9,MAPKAP1
ENSG00000137473,4,TTC29
ENSG00000178605,X,GTPBP6
ENSG00000120251,4,GRIA2
ENSG00000147853,9,AK3
ENSG00000196782,4,MAML3
ENSG00000224774,HSCHR6_MHC_SSTO,CSNK2B
ENSG00000197465,4,GYPE
ENSG00000167393,X,PPP2R3B
ENSG00000166206,15,GABRB3
ENSG00000236337,X,FMR1-IT1
ENSG00000234161,X,PABPC5-AS1
ENSG00000251191,8,LINC00589
ENSG00000183578,15,TNFAIP8L3
ENSG00000068400,X,GRIPAP1
ENSG00000167306,18,MYO5B
ENSG00000099998,22,GGT5
ENSG00000096150,HSCHR6_MHC_QBL,RPS18
ENSG00000137460,4,FHDC1
ENSG00000142168,21,SOD1
ENSG00000262418,HSCHR1_3_CTG31,PTPRC
ENSG00000146540,7,C7orf50
ENSG00000120158,9,RCL1
ENSG00000184056,15,VPS33B
ENSG00000239497,HSCHR6_MHC_SSTO,LY6G5B
ENSG00000160972,8,PPP1R16A
ENSG00000153130,4,SCOC
ENSG00000185960,X,SHOX
ENSG00000225731,21,AP001627.1
ENSG00000130703,20,OSBPL2
ENSG00000238553,4,AF213884.3
ENSG00000215700,GL000191.1,PNRC2
ENSG00000233056,21,ERVH48-1
ENSG00000151835,13,SACS
ENSG00000255559,8,ZNF252P-AS1
ENSG00000140006,14,WDR89
ENSG00000164849,7,GPR146
ENSG00000250361,4,GYPB
ENSG00000111971,HSCHR6_MHC_SSTO,LY6G5C
ENSG00000124222,20,STX16
ENSG00000241769,X,LINC00893
ENSG00000126821,14,SGPP1
ENSG00000205755,X,CRLF2
ENSG00000215699,GL000191.1,SRSF10
ENSG00000144659,3,SLC25A38
ENSG00000109654,4,TRIM2
ENSG00000088854,20,C20orf194
ENSG00000206285,HSCHR6_MHC_QBL,B3GALT4
ENSG00000132164,3,SLC6A11
ENSG00000176305,8,AC087269.1
ENSG00000134508,18,CABLES1
ENSG00000206372,HSCHR6_MHC_QBL,C2
ENSG00000168028,3,RPSA
ENSG00000156304,21,SCAF4
ENSG00000177710,8,SLC35G5
ENSG00000259919,HG996_PATCH,GALNT9
ENSG00000127863,13,TNFRSF19
ENSG00000215999,4,AC004052.1
ENSG00000245384,4,AC004053.1
ENSG00000147099,X,HDAC8
ENSG00000100014,22,SPECC1L
ENSG00000167081,9,PBX3
ENSG00000206284,HSCHR6_MHC_QBL,WDR46
ENSG00000251473,4,AC004069.1
ENSG00000100982,20,PCIF1
ENSG00000237864,21,LINC00322
ENSG00000154319,8,FAM167A
ENSG00000137869,15,CYP19A1
ENSG00000133742,8,CA1
ENSG00000251586,4,TET2-AS1
ENSG00000164850,7,GPER1
ENSG00000151617,4,EDNRA
ENSG00000096968,9,JAK2
ENSG00000122547,7,EEPD1
ENSG00000259635,15,AC100830.3
ENSG00000185186,21,LINC00313
ENSG00000230475,HSCHR6_MHC_SSTO,ABHD16A
ENSG00000027001,13,MIPEP
ENSG00000262273,HG311_PATCH,PNLIPRP1
ENSG00000121211,4,MND1
ENSG00000103671,15,TRIP4
ENSG00000258725,15,PRC1-AS1
ENSG00000178381,7,ZFAND2A
ENSG00000136573,8,BLK
ENSG00000206315,HSCHR6_MHC_QBL,PBX2
