"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes","BP_group"
"11","GO:0048167",0.0518917066628787,0.964544953993608,42,212,"regulation of synaptic plasticity","BP",19.811320754717,"Control","ABL1, ADCY1, CAMK2B, CD38, EPHA4, EPHB2, GRIA1, GRID2, GRIK2, GRIN2B, KCNJ10, KCNQ3, MAPT, PDE9A, SERPINE2, RELN, RASGRF1, RASGRF2, SLC8A3, FXR1, LARGE1, RAPGEF2, RIMS2, LZTS1, RAB3GAP1, SHANK2, SORCS3, RIMS1, ERC1, SIPA1L1, ERC2, STAU2, ZDHHC2, SLC4A10, SORCS2, TSHZ3, MCTP1, NETO1, RIMS4, CNTN4, IGSF11, UNC13C, SHISA9","Vesicle Tranportation"
"12","GO:0048729",0.0121549346219102,0.991087794601547,96,622,"tissue morphogenesis","BP",15.4340836012862,"Control","ABL1, ACTG2, APC, BBS4, BMPR2, CDC42, CTNS, DLG1, DSP, EPHA4, ERBB4, ESR1, EXT1, EXT2, EYA1, EYA2, FGFR2, FRZB, GCNT1, GRB2, NRG1, HES1, TNC, RBPJ, ITGAX, ITGB1, LRP2, SMAD2, MDM2, MTHFR, MYL2, MYO9A, PAK1, PIK3CD, PKHD1, PRKAR1A, ROBO1, ROBO2, RREB1, RYR2, SDC4, SHOX2, SOS1, ADAM17, TBX5, TGFB2, TGFBR2, TIAM1, TTN, TULP3, WNT2B, HMGA2, NRP2, BTRC, DLG5, SLIT2, CYP7B1, NTN1, HAND2, HS2ST1, SEMA3E, MAGI2, HS3ST3B1, DLC1, SEMA3C, LBX1, CLUAP1, SULF1, ASTN2, CLASP1, ZFPM2, MTHFD1L, C2CD3, WDPCP, IFT57, KIF26B, FERMT1, IFT122, AJAP1, RGMA, TBX20, EXOC4, CSMD1, GREB1L, FRAS1, ADAMTS12, VANGL1, ARHGAP24, KDM2B, PHLDB2, STARD13, XIRP2, TRIM71, ADAMTS16, SLC39A12, FREM2","Development & Morpogenesis"
"13","GO:0051606",0.0713734749449064,0.948573041982241,43,614,"detection of stimulus","BP",7.00325732899023,"Control","ASIC2, CACNB4, CASQ2, CDH2, ATF2, CST4, EPHB1, FYN, GRIK2, KCNQ1, PAK1, SERPINE2, PPEF2, GRK1, RP1, RYR2, SCN1A, SCN9A, STIM1, SYT1, TACR1, TTN, SCN11A, CRB1, OR7A17, ATP8A2, SEMA5B, ANO3, OR51J1, CAMKMT, OR4P4, OR6K2, ADGRV1, CLEC6A, OPN4, PKD1L2, OR14C36, OR5L1, OR10S1, OR9Q1, OR52B2, OR51B5, SSC5D, EYS","Vesicle Tranportation"
"14","GO:0060079",0.554986661040809,0.548020479414144,18,107,"excitatory postsynaptic potential","BP",16.8224299065421,"Control","CHRNB2, GRID2, GRIK2, GRIK5, GRIN2B, RELN, SLC8A3, NRXN1, RIMS2, NLGN1, RAB3GAP1, RIMS1, CUX2, SYNE1, SHANK1, TMEM108, NETO1, IGSF11","Vesicle Tranportation"
"15","GO:0098609",0.117337744299097,0.900141011763022,149,936,"cell-cell adhesion","BP",15.9188034188034,"Control","ABL1, ANK3, RHOH, ASTN1, RUNX1, RUNX3, CBLB, CD6, CD9, CDH1, CDH2, CDH4, CDH7, CDH8, CDH11, CDH12, CDH13, CDH16, CDH18, COL19A1, MAPK14, CTNNA1, CTNNA2, CTNND2, CXADR, DAB1, DCC, DLG1, DLG2, DSCAM, DSG1, DSP, EFNA5, ETS1, EXT1, FCGR2B, FER, FOXO3, FYN, GCNT1, GRID2, HLA-G, HMGB1, HES1, ITGA1, ITGAE, ITGAL, ITGAX, ITGB1, LPP, LRP6, LYN, KITLG, CD200, NCAM2, NINJ2, NT5E, PCDH7, PCDH9, SERPINE2, PKHD1, SERPINF2, PRKAR1A, PRKCA, PRKG1, MAP2K5, PTPRC, PTPRD, PTPRM, ROBO1, ROBO2, SDC4, SHC1, SMARCC1, SMARCD1, SPTA1, TGFB2, TGFBR2, TJP1, TLN1, COL14A1, VAV1, ZBTB16, PKP4, TNFSF11, PDE5A, RIPK2, MAGI1, DLG5, NRXN3, NRXN1, NTN1, PTPRU, TNIP1, CXCL13, PDLIM5, PTPRT, NTNG1, NLGN1, PALLD, NFASC, TMEM131L, ASTN2, ADGRL3, PIP5K1C, CRB1, ABCA12, TJP3, CDH20, BRD7, CTNNA3, ICOS, ZDHHC2, FXYD5, CNTN5, SDK2, DCHS2, KIF26B, BAIAP2L1, ZMIZ1, TTYH1, TENM2, LRRC7, LRRC4C, CDH26, CLSTN2, PCDH15, FAT4, AKNA, HMCN1, ADGRV1, CARD11, MEGF10, KIRREL3, UBASH3B, BOC, DAPL1, FAT3, B4GALNT2, UNC5D, PLEKHA7, LRFN5, CNTN4, IGSF11, ADAMTS18, CADM4, SDK1, CDHR3, CADM2, NEGR1","Cell Matrix Adhesion"
"16","GO:1902414",0.0701595679095739,0.956280547192904,26,105,"protein localization to cell junction","BP",24.7619047619048,"Control","ASIC2, DLG1, DLG2, DSP, ERBB4, KIF5A, MAPT, RELN, RAP1A, TJP1, DLG5, NRXN1, GPC6, CPLX1, NLGN1, ARHGEF18, GRIP1, STAU2, TJP3, PCLO, SHANK1, ABHD17B, ZDHHC2, LRRC7, NETO1, CGNL1","Cell Matrix Adhesion"
"17","GO:2000463",0.171490759682589,0.909983465470785,10,32,"positive regulation of excitatory postsynaptic potential","BP",31.25,"Control","GRIN2B, RELN, NRXN1, RIMS2, NLGN1, RIMS1, CUX2, SHANK1, NETO1, IGSF11","Vesicle Tranportation"
"18","GO:0001954",0.433748272570763,0.683920930027874,14,55,"positive regulation of cell-matrix adhesion","BP",25.4545454545455,"IHD","ABL1, CDH13, CCR7, EPHA1, PTK2B, GSK3B, SMAD3, PTPRJ, SDC4, UTRN, SKAP1, RIN2, FERMT1, FMN1","Cell Matrix Adhesion"
"19","GO:0003338",0.208025910796233,0.892002148231826,8,31,"metanephros morphogenesis","BP",25.8064516129032,"IHD","CALB1, FGF10, SALL1, WT1, GREM1, KIF26B, FRAS1, FMN1","Development & Morpogenesis"
"20","GO:0006638",0.317345336611265,0.759495852975592,24,131,"neutral lipid metabolic process","BP",18.3206106870229,"IHD","CPS1, CPT1A, DGKB, DGKG, GPLD1, INSIG1, LIPC, PLA2G4A, PNLIPRP2, SORL1, TNXB, GNPAT, LIPF, DGKI, LPGAT1, PLAAT3, MGLL, CIDEB, PLCE1, AGPAT5, TBL1XR1, MOGAT1, GPAT4, DGKH, PNPLA1, AGMO","Metabolism"
"21","GO:0006790",0.169853321612889,0.864256214108101,63,303,"sulfur compound metabolic process","BP",20.7920792079208,"IHD","ACACB, ACLY, ACP3, ANGPT1, CPS1, DLST, EXT1, EXTL3, GLB1, GCLM, GSTA1, HLCS, NDST1, MAT1A, MSRA, MTAP, MTHFD1, MTR, MMUT, OGDH, ST3GAL1, STAT5A, TCF7L2, XDH, TPST1, SUCLG2, NDST3, MICAL2, HS3ST4, HS3ST3A1, HS3ST1, UST, HPSE, SLC27A2, CHSY1, DIP2A, AHCYL2, ICMT, GLCE, TPK1, NOX4, CHST11, HSD17B12, AADAT, CHST15, BPNT2, FAR2, CSGALNACT1, LYRM4, ELOVL5, XYLT1, MMS19, CHST8, NDST4, ELOVL6, NDNF, ELOVL7, NUBPL, SLC19A3, CHST9, ACSM1, GPAT4, HACD2, HS6ST3, NUDT7, CHSY3, ACSM2B","Metabolism"
"22","GO:0006888",0.395440362977776,0.690618101375625,23,130,"endoplasmic reticulum to Golgi vesicle-mediated transport","BP",17.6923076923077,"IHD","ANK1, CSNK1D, INSIG1, RAB1A, SORL1, VCP, USO1, GBF1, SEC23B, SEC24A, TRAPPC8, TMED3, SEC31B, CIDEB, TMED5, SAR1A, ERGIC1, TRAPPC11, CREB3L2, TRAPPC9, LRRK2, VTI1A, MIA3","Vesicle Tranportation"
"23","GO:0006892",0.454813958500986,0.63464465337489,26,97,"post-Golgi vesicle-mediated transport","BP",26.8041237113402,"IHD","ANK3, AP3S1, EPS15, GAK, GOLGA4, MYO1B, NSF, SORL1, SPTBN1, GBF1, RAB31, VPS13A, EXOC6B, MACF1, ATP2C1, EXOC6, VPS13C, GOLPH3L, KIF16B, EXOC2, VPS35L, EXOC4, KIF13A, SORCS1, VTI1A, COMMD1, CNST","Vesicle Tranportation"
"24","GO:0006900",0.0792810497413989,0.952782356982756,21,81,"vesicle budding from membrane","BP",25.9259259259259,"IHD","AP3S1, CSNK1D, DNM1, INSIG1, P2RX7, PRKN, RAB1A, AP3B2, PICALM, GBF1, SNAP91, SEC23B, SEC24A, TRAPPC8, SEC31B, CIDEB, FNBP1L, GOLPH3L, SAR1A, TRAPPC11, TRAPPC9, MIA3","Vesicle Tranportation"
"25","GO:0007034",0.642845444969775,0.433692313396479,31,164,"vacuolar transport","BP",18.9024390243902,"IHD","ARSB, AP3S1, GAK, IGF2R, NPC1, PRKN, SORL1, VCP, AP3B1, TGFBRAP1, ZFYVE16, CACNG3, CACNG2, VPS13A, VPS8, AP3M1, VPS41, CACNG5, CACNG4, VPS13C, PXK, VPS13D, VPS53, SCYL2, VIPAS39, KIF13A, GNPTAB, HOOK3, LRRK2, VTI1A, TPCN2, ATP6V0D2","Vesicle Tranportation"
"26","GO:0007044",0.198555085466929,0.858461834916481,29,95,"cell-substrate junction assembly","BP",30.5263157894737,"IHD","ABL1, ACTN2, RHOA, BCL2, DST, EFNA5, CTTN, EPHA3, PTK2B, ITGA6, LAMA3, SMAD3, PTEN, PTK2, PTPRJ, PTPRK, SDC4, PIP5K1A, ROCK2, DLC1, TESK2, SORBS1, LIMCH1, CLASP1, MACF1, CORO1C, GREM1, WDPCP, FMN1","Cell Matrix Adhesion"
"27","GO:0007169",0.0873315814070065,0.92707926540293,150,618,"transmembrane receptor protein tyrosine kinase signaling pathway","BP",24.2718446601942,"IHD","ABL1, ALK, ANGPT1, ARNT, BRAF, RUNX2, CBL, CDH13, AP3S1, COL4A2, DOCK3, EFNA4, EFNA5, EFNB3, EPHA1, EPHA3, EPHA5, EPHA7, EPHB1, ERBB4, EXT1, PTK2B, FER, FGF1, FGF4, FGF10, FGR, FOXO1, FLT1, FRK, FYN, GALNT3, GPLD1, GRB10, GRB14, GSK3B, HGF, NRG1, HIF1A, HIP1, NDST1, IDE, IGF1R, IGF2R, IGFBP1, IGFBP5, INSR, IRS1, ITGA1, JAK1, JAK2, LOX, LYN, MYO1E, NCL, NEDD9, NTRK3, ROR2, DDR2, PIK3R1, PIP4K2A, PRKCB, PRKD1, MAPK1, MAP2K5, LGMN, PTK2, PTPN3, PTPRG, PTPRJ, PTPRR, RALA, ROBO1, ROS1, SORL1, SOS1, STAT5A, SYK, TGFA, TIAM1, TNXB, VAV2, XDH, ZAP70, ZFAND5, NR4A3, SHOC2, BCAR3, FGF18, CDK5R1, KALRN, GPRC5A, KL, ADAMTS3, PHF14, RAPGEF2, MTSS1, LRIG2, SORBS1, TXNIP, NRG3, PTPRT, FSTL4, KANK1, SULF1, PLCB1, ZDHHC17, CADM1, SIPA1L1, GIGYF2, CYFIP2, SNX5, BLNK, PLCE1, SHC3, AHI1, PID1, PHIP, KIF16B, CCDC88A, MBD5, PDGFC, ANKS1B, RTN4, SEMA6A, JCAD, ARHGEF28, ZNF106, HHIP, GAREM1, NIBAN2, TMEM108, SH3TC2, SVEP1, PDGFD, NDEL1, ADAMTS12, MVB12B, OSBPL8, NUS1, CLNK, GAB4, SESN3, NRG4, CCBE1, KLB, DAB2IP, DOK6, FAM83B, EPHA6, GFRAL, SHC4, SAMD12","Signaling"
"28","GO:0016050",0.142448808035364,0.885670456742434,74,346,"vesicle organization","BP",21.3872832369942,"IHD","ABCA1, ATP6V1C1, ATP6V1E1, BCL2, CD34, AP1S1, AP3S1, CSNK1D, DNM1, STX2, EPS15, INSIG1, P2RX7, PAFAH1B1, PRKN, PIP4K2A, PLA2G5, NECTIN2, RAB1A, RAB27A, SDC4, SNAP25, SYT1, TMF1, UVRAG, AP3B2, PICALM, STX7, AP3B1, USO1, GBF1, TGFBRAP1, STX8, ZFYVE16, TBC1D4, SNAP91, PDCD6IP, STX6, VAV3, SEC23B, UNC13B, SEC24A, ZPBP, SOX30, HPS5, TRAPPC8, UNC13A, DNAJC13, WASHC4, VPS8, CORO1C, RAB38, SEC31B, ERC2, FBXO5, AP3M1, VPS41, CIDEB, STXBP6, ATP6V1D, RAB8B, FNBP1L, GOLPH3L, SAR1A, TRAPPC11, VIPAS39, KIF13A, RUBCNL, SPG11, TRAPPC9, DTNBP1, HOOK3, HPS4, AP1S3, VTI1A, VPS13B, TRARG1, MIA3, UNC13C","Vesicle Tranportation"
"29","GO:0032786",0.864857753022898,0.235649285811167,7,62,"positive regulation of DNA-templated transcription, elongation","BP",11.2903225806452,"IHD","SUPT5H, MED26, MED27, SCAF8, ZMYND8, CDC73, MED8","Cell Cycle"
"30","GO:0035459",0.00181800604939927,0.999472697297675,14,34,"vesicle cargo loading","BP",41.1764705882353,"IHD","AP3S1, INSIG1, RAB1A, AP3B2, PICALM, AP3B1, SEC23B, SEC24A, SEC31B, AP3M1, CIDEB, SAR1A, KIF13A, MIA3","Vesicle Tranportation"
"31","GO:0040020",0.178924515216866,0.914060721416193,7,32,"regulation of meiotic nuclear division","BP",21.875,"IHD","CDC20, DMRT1, PDE3A, SIRT2, PLCB1, FBXO5, PIWIL2","Cell Cycle"
"32","GO:0043001",0.203231737980414,0.887370989843641,10,36,"Golgi to plasma membrane protein transport","BP",27.7777777777778,"IHD","ANK3, GOLGA4, NSF, SPTBN1, RAB31, MACF1, ATP2C1, GOLPH3L, KIF13A, CNST","Vesicle Tranportation"
"33","GO:0043114",0.611875738016723,0.526755808491882,10,50,"regulation of vascular permeability","BP",20,"IHD","ANGPT1, BMP6, PDE3A, PTPRJ, ABCC8, TJP1, SLIT2, TJP2, PLVAP, MYLK3","Vesicle Tranportation"
"34","GO:0044272",0.214957566636574,0.83680402479924,37,155,"sulfur compound biosynthetic process","BP",23.8709677419355,"IHD","ACACB, ACLY, ANGPT1, EXT1, EXTL3, GSTA1, NDST1, MAT1A, MTAP, MTHFD1, MTR, MMUT, ST3GAL1, TCF7L2, NDST3, HS3ST4, HS3ST3A1, HS3ST1, UST, SLC27A2, CHSY1, DIP2A, GLCE, TPK1, CHST11, HSD17B12, CHST15, CSGALNACT1, ELOVL5, XYLT1, NDST4, ELOVL6, ELOVL7, SLC19A3, CHST9, HACD2, HS6ST3, CHSY3","Metabolism"
"35","GO:0046473",0.489999684955543,0.666794959466376,8,34,"phosphatidic acid metabolic process","BP",23.5294117647059,"IHD","DGKB, DGKG, PLD1, GNPAT, AGPAT5, GPAT4, LIPI, DGKH, LIPH","Metabolism"
"36","GO:0048013",0.255928235047652,0.829625476483291,18,51,"ephrin receptor signaling pathway","BP",35.2941176470588,"IHD","EFNA4, EFNA5, EFNB3, EPHA1, EPHA3, EPHA5, EPHA7, EPHB1, FYN, LYN, PTK2, TIAM1, CDK5R1, KALRN, SIPA1L1, ANKS1B, ARHGEF28, EPHA6","Signaling"
"37","GO:0048193",0.634885170123072,0.422703612797755,56,283,"Golgi vesicle transport","BP",19.7879858657244,"IHD","ANK1, ANK3, AP3S1, CSNK1D, EPS15, GAK, GOLGA4, INSIG1, MYO1B, NSF, PRKD1, RAB1A, RAB6A, SORL1, SPTBN1, UVRAG, VCP, PLPP3, USO1, GBF1, ATP9A, STX6, COG5, SEC23B, SEC24A, RAB31, TRAPPC8, VPS13A, EXOC6B, TMED3, MACF1, SEC31B, ATP2C1, CIDEB, TMED5, NBAS, RAB8B, EXOC6, VPS13C, GOLPH3L, KIF16B, EXOC2, SAR1A, VPS35L, ERGIC1, COG6, EXOC4, TRAPPC11, KIF13A, CREB3L2, TRAPPC9, SORCS1, LRRK2, VTI1A, COMMD1, CNST, ATP9B, MIA3","Vesicle Tranportation"
"38","GO:0051445",0.476948438421226,0.656979723801226,10,64,"regulation of meiotic cell cycle","BP",15.625,"IHD","CDC20, DMRT1, INSR, PDE3A, TTK, CDC23, SIRT2, PLCB1, FBXO5, PIWIL2","Cell Cycle"
"39","GO:0051894",0.676070980403528,0.512791863010609,5,26,"positive regulation of focal adhesion assembly","BP",19.2307692307692,"IHD","ABL1, SMAD3, PTPRJ, SDC4, FMN1","Cell Cycle"
"40","GO:0060441",0.124774081012494,0.941219051202558,9,30,"epithelial tube branching involved in lung morphogenesis","BP",30,"IHD","EXT1, FGF10, TNC, WNT2, CELSR1, YAP1, HHIP, LAMA1, RSPO2","Development & Morpogenesis"
"41","GO:0070098",0.0320704188030391,0.984363125966471,15,90,"chemokine-mediated signaling pathway","BP",16.6666666666667,"IHD","CCR6, CCR7, ACKR2, CMKLR1, PTK2B, XCR1, HIF1A, CXCR1, LYN, ROBO1, SLIT3, SLIT2, CXCL13, STK39, WNK1","Signaling"
"42","GO:0071173",0.308462143938383,0.811257770064884,9,44,"spindle assembly checkpoint signaling","BP",20.4545454545455,"IHD","CDC20, TTK, MAD1L1, KNTC1, NDC80, LCMT1, CDCA8, CDK5RAP2, TEX14","Cell Cycle"
"43","GO:0072665",0.194421435346995,0.868345326202161,21,86,"protein localization to vacuole","BP",24.4186046511628,"IHD","SORL1, AP3B1, ROCK2, ZFYVE16, CACNG3, CACNG2, VPS13A, VPS8, SH3BP4, AP3M1, VPS41, CACNG5, CACNG4, VPS13C, PXK, VPS13D, VPS53, LMBRD1, RTN4, MFSD1, GNPTAB","Vesicle Tranportation"
"44","GO:0090114",0.0869383944585146,0.957816664267676,11,43,"COPII-coated vesicle budding","BP",25.5813953488372,"IHD","CSNK1D, INSIG1, RAB1A, SEC23B, SEC24A, TRAPPC8, SEC31B, CIDEB, SAR1A, TRAPPC11, MIA3","Vesicle Tranportation"
"45","GO:0150117",0.475910526171359,0.688839527887207,7,31,"positive regulation of cell-substrate junction organization","BP",22.5806451612903,"IHD","ABL1, SMAD3, PIK3R1, PTPRJ, SDC4, MAPRE2, FMN1","Cell Matrix Adhesion"
"46","GO:1901570",0.625893934150833,0.518230986581046,9,48,"fatty acid derivative biosynthetic process","BP",18.75,"IHD","PAM, SLC27A2, HSD17B12, FAR2, ELOVL5, ELOVL6, ACSS3, ELOVL7, HACD2","Metabolism"
"47","GO:2000241",0.542752104360906,0.53435663414294,32,200,"regulation of reproductive process","BP",16,"IHD","ACVR1B, CRISP1, CDC20, CCR6, DMRT1, ESR1, GLRA1, INSR, MYH9, PDE3A, STK4, TCP11, TTK, WT1, YBX3, UNC5C, PDE5A, CDC23, PTGDR2, SIRT2, SULF1, PLCB1, ZFPM2, FBXO5, YTHDF2, C9orf78, PIWIL2, NOX5, UMODL1, NLRP5, YTHDF3, ANKRD31","Cell Cycle"
