"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Regulation","SYMBOL"
"24","GO:0001944",0.0018142537517246,0.999516459219066,10,686,"vasculature development","BP",1.45772594752187,"UP","ACTG1, EGR1, NR4A1, JUNB, LRP1, RORA, S100A1, ADAMTS6, PDGFD, CCBE1"
"25","GO:0001952",0.0187457146391716,0.997576890401418,3,116,"regulation of cell-matrix adhesion","BP",2.58620689655172,"UP","ACTG1, PIK3R1, PTEN"
"26","GO:0001953",0.0114381699430803,0.999436302869906,2,34,"negative regulation of cell-matrix adhesion","BP",5.88235294117647,"UP","PIK3R1, PTEN"
"27","GO:0002020",0.0266744696294139,0.996054390237027,3,128,"protease binding","MF",2.34375,"UP","PTEN, UBC, CCBE1"
"28","GO:0002040",0.0199523592063551,0.99735876057081,3,119,"sprouting angiogenesis","BP",2.52100840336134,"UP","NR4A1, S100A1, CCBE1"
"29","GO:0002263",0.00197193418334239,0.999668754615362,6,262,"cell activation involved in immune response","BP",2.29007633587786,"UP","CD81, JUNB, LGALS3, LRP1, CD46, RORA"
"30","GO:0002285",0.00201155279882653,0.99972892068608,5,180,"lymphocyte activation involved in immune response","BP",2.77777777777778,"UP","CD81, JUNB, LGALS3, CD46, RORA"
"31","GO:0002286",0.0001124105768332,0.999992101607147,5,95,"T cell activation involved in immune response","BP",5.26315789473684,"UP","CD81, JUNB, LGALS3, CD46, RORA"
"32","GO:0002287",0.044672261851333,0.99535411625064,2,68,"alpha-beta T cell activation involved in immune response","BP",2.94117647058824,"UP","JUNB, RORA"
"33","GO:0002291",0.00109217039208096,0.99998572216913,2,10,"T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","BP",20,"UP","CD81, LGALS3"
"34","GO:0002292",0.00594552853967014,0.999500253874179,3,74,"T cell differentiation involved in immune response","BP",4.05405405405405,"UP","JUNB, CD46, RORA"
"35","GO:0002293",0.044672261851333,0.99535411625064,2,68,"alpha-beta T cell differentiation involved in immune response","BP",2.94117647058824,"UP","JUNB, RORA"
"36","GO:0002294",0.044672261851333,0.99535411625064,2,68,"CD4-positive, alpha-beta T cell differentiation involved in immune response","BP",2.94117647058824,"UP","JUNB, RORA"
"37","GO:0002366",0.00942359295658641,0.998164834769075,5,258,"leukocyte activation involved in immune response","BP",1.93798449612403,"UP","CD81, JUNB, LGALS3, CD46, RORA"
"38","GO:0002455",0.0235562221110753,0.998280720019041,2,47,"humoral immune response mediated by circulating immunoglobulin","BP",4.25531914893617,"UP","CD81, CD46"
"39","GO:0002521",0.00528943500429581,0.99860056807634,8,545,"leukocyte differentiation","BP",1.46788990825688,"UP","ACTB, CD81, EGR1, FOS, JUNB, CD46, PIK3R1, RORA"
"40","GO:0002573",0.0182222451271602,0.996657428218809,4,204,"myeloid leukocyte differentiation","BP",1.96078431372549,"UP","CD81, FOS, JUNB, PIK3R1"
"41","GO:0002685",0.0211148227287224,0.995951921054185,4,204,"regulation of leukocyte migration","BP",1.96078431372549,"UP","CD81, LGALS3, PIK3R1, PDGFD"
"42","GO:0002687",0.0317928242691656,0.994967412416698,3,133,"positive regulation of leukocyte migration","BP",2.25563909774436,"UP","LGALS3, PIK3R1, PDGFD"
"43","GO:0002694",0.0198712177468272,0.993913574294122,7,545,"regulation of leukocyte activation","BP",1.28440366972477,"UP","ACTB, CD81, JUNB, LGALS3, CD46, PRKAR1A, RORA"
"44","GO:0004860",0.043984282215659,0.995465650536272,2,67,"protein kinase inhibitor activity","MF",2.98507462686567,"UP","PRKAR1A, RACK1"
"45","GO:0004879",0.0245726654645659,0.99816120147861,2,51,"nuclear receptor activity","MF",3.92156862745098,"UP","NR4A1, RORA"
"46","GO:0005496",0.0107195221683977,0.998878021510613,3,93,"steroid binding","MF",3.2258064516129,"UP","CD81, RORA, OSBPL9"
"47","GO:0005518",0.034522651263295,0.996884513994583,2,62,"collagen binding","MF",3.2258064516129,"UP","HSD17B12, CCBE1"
"48","GO:0005767",0.00378584408753969,0.99989898608492,2,18,"secondary lysosome","CC",11.1111111111111,"UP","FTL, MAP1LC3A"
"49","GO:0005768",0.0210274910389065,0.991945306909132,10,978,"endosome","CC",1.02249488752556,"UP","LRP1, PRKAR1A, UBC, ITM2B, LAPTM4A, MAP1LC3A, OSBPL9, WDFY2, ASB15, C9orf72"
"50","GO:0005776",0.0176184228679099,0.997776128181005,3,112,"autophagosome","CC",2.67857142857143,"UP","FTL, MAP1LC3A, C9orf72"
"51","GO:0005903",0.0108313879662867,0.998861501344929,3,95,"brush border","CC",3.1578947368421,"UP","ACTB, MYL6, SLC38A2"
"52","GO:0005925",0.00512369628872883,0.998792741483726,7,418,"focal adhesion","CC",1.67464114832536,"UP","ACTB, ACTG1, CD81, LRP1, CD46, RPS8, RPS14"
"53","GO:0006220",0.00255525873906084,0.999842816636442,3,52,"pyrimidine nucleotide metabolic process","BP",5.76923076923077,"UP","DPYD, NME3, SLC4A7"
"54","GO:0006221",0.0118554499256269,0.999407331667329,2,31,"pyrimidine nucleotide biosynthetic process","BP",6.45161290322581,"UP","NME3, SLC4A7"
"55","GO:0006417",0.0138132102696579,0.996513918791045,6,396,"regulation of translation","BP",1.51515151515152,"UP","RPS14, ZFP36, BTG2, EIF1B, RACK1, METAP1"
"56","GO:0006694",0.0452076654734517,0.991775055570747,3,159,"steroid biosynthetic process","BP",1.88679245283019,"UP","EGR1, HSD17B12, OSBPL9"
"57","GO:0006753",0.0416063656437664,0.986495291558176,6,492,"nucleoside phosphate metabolic process","BP",1.21951219512195,"UP","DPYD, NME3, RORA, SLC4A7, AASS, HSD17B12"
"58","GO:0006897",0.0438408073601849,0.984154059214108,7,663,"endocytosis","BP",1.05580693815988,"UP","ACTB, ACTG1, CD81, LGALS3, LRP1, RACK1, C9orf72"
"59","GO:0006919",0.0400211796342748,0.996086138123732,2,63,"activation of cysteine-type endopeptidase activity involved in apoptotic process","BP",3.17460317460317,"UP","RACK1, MTCH1"
"60","GO:0006979",0.0372844548392028,0.989676670608584,5,363,"response to oxidative stress","BP",1.37741046831956,"UP","CRYAB, FOS, RACK1, PDGFD, MAP1LC3A"
"61","GO:0006986",0.00406743506306434,0.999518704965744,4,132,"response to unfolded protein","BP",3.03030303030303,"UP","PIK3R1, HSPB3, RACK1, DNAJB4"
"62","GO:0007034",0.0444794519150086,0.991956950453498,3,163,"vacuolar transport","BP",1.84049079754601,"UP","LRP1, ASB15, C9orf72"
"63","GO:0007039",0.00505379113617379,0.99984095070817,2,22,"protein catabolic process in the vacuole","BP",9.09090909090909,"UP","CD81, LRP1"
"64","GO:0007041",0.0237654938624171,0.996635680080765,3,128,"lysosomal transport","BP",2.34375,"UP","LRP1, ASB15, C9orf72"
"65","GO:0007159",0.0384408266120201,0.989268108772556,5,370,"leukocyte cell-cell adhesion","BP",1.35135135135135,"UP","ACTB, CD81, LGALS3, CD46, PRKAR1A"
"66","GO:0007162",0.0432939374051665,0.989618130162786,4,268,"negative regulation of cell adhesion","BP",1.49253731343284,"UP","LGALS3, PIK3R1, PRKAR1A, PTEN"
"67","GO:0007167",0.0273750106444428,0.989624479277972,9,886,"enzyme-linked receptor protein signaling pathway","BP",1.01580135440181,"UP","EGR1, FOS, LRP1, PIK3R1, NREP, GAREM1, PDGFD, CCBE1, DOK6"
"68","GO:0007517",0.000830720015051079,0.999858661061091,7,312,"muscle organ development","BP",2.24358974358974,"UP","CRYAB, EGR1, FOS, NR4A1, MYL6, BTG2, RBFOX1"
"69","GO:0007519",6.90324149509573e-05,0.999993916009242,6,144,"skeletal muscle tissue development","BP",4.16666666666667,"UP","EGR1, FOS, NR4A1, MYL6, BTG2, RBFOX1"
"70","GO:0007565",0.00834134128220433,0.998786564020214,4,158,"female pregnancy","BP",2.53164556962025,"UP","FOS, JUNB, CORIN, SLC38A2"
"71","GO:0007622",0.0138149141854874,0.999246640946564,2,36,"rhythmic behavior","BP",5.55555555555556,"UP","EGR1, PTEN"
"72","GO:0007623",0.0121210125331434,0.998031223300496,4,183,"circadian rhythm","BP",2.18579234972678,"UP","EGR1, PTEN, RORA, LGR4"
"73","GO:0008202",0.0119444690112429,0.997533390961443,5,274,"steroid metabolic process","BP",1.82481751824818,"UP","EGR1, RORA, HSD17B12, OSBPL9, CYP4V2"
"74","GO:0008625",0.00701327382203365,0.999373472456265,3,78,"extrinsic apoptotic signaling pathway via death domain receptors","BP",3.84615384615385,"UP","LGALS3, PIK3R1, PTEN"
"75","GO:0008652",0.0477412226019968,0.994845335545762,2,72,"amino acid biosynthetic process","BP",2.77777777777778,"UP","DPYD, AASS"
"76","GO:0009117",0.0389432211723261,0.987557270961593,6,484,"nucleotide metabolic process","BP",1.2396694214876,"UP","DPYD, NME3, RORA, SLC4A7, AASS, HSD17B12"
"77","GO:0009218",0.0116544556047175,0.999422558432661,2,31,"pyrimidine ribonucleotide metabolic process","BP",6.45161290322581,"UP","DPYD, NME3"
"78","GO:0009259",0.0384482445476384,0.989268069639011,5,356,"ribonucleotide metabolic process","BP",1.40449438202247,"UP","DPYD, NME3, RORA, AASS, HSD17B12"
"79","GO:0009267",0.045347262631015,0.991737428302439,3,163,"cellular response to starvation","BP",1.84049079754601,"UP","FOS, SLC38A2, MAP1LC3A"
"80","GO:0009611",0.0345454384129914,0.989267596230881,6,494,"response to wounding","BP",1.21457489878543,"UP","ACTB, ACTG1, PTEN, ZFP36, NREP, METAP1"
"81","GO:0009896",0.00330096515309527,0.999192958914342,8,508,"positive regulation of catabolic process","BP",1.5748031496063,"UP","CD81, LRP1, PTEN, ZFP36, BTG2, RACK1, UBR3, C9orf72"
"82","GO:0009988",0.0357534155653145,0.996717140183125,2,58,"cell-cell recognition","BP",3.44827586206897,"UP","CD81, LGALS3"
"83","GO:0010035",0.0330608663545183,0.989835197901351,6,478,"response to inorganic substance","BP",1.25523012552301,"UP","CRYAB, FOS, JUNB, SLC38A2, PDGFD, MAP1LC3A"
"84","GO:0010243",0.0155870030079949,0.994307136742585,10,939,"response to organonitrogen compound","BP",1.06496272630458,"UP","ACTB, CD81, EGR1, FOS, NR4A1, LRP1, PIK3R1, PRKAR1A, BTG2, PDGFD"
"85","GO:0010332",0.0221697678836885,0.998434322280613,2,46,"response to gamma radiation","BP",4.34782608695652,"UP","CRYAB, EGR1"
"86","GO:0010494",0.00826163495495092,0.999214793494633,3,87,"cytoplasmic stress granule","CC",3.44827586206897,"UP","ZFP36, RBFOX1, C9orf72"
"87","GO:0010563",0.0260826059732523,0.993428325392869,5,339,"negative regulation of phosphorus metabolic process","BP",1.47492625368732,"UP","LGALS3, PRKAR1A, PTEN, RACK1, C9orf72"
"88","GO:0010573",0.00988588871030326,0.999550443116473,2,31,"vascular endothelial growth factor production","BP",6.45161290322581,"UP","RORA, CCBE1"
"89","GO:0010574",0.00758570556917083,0.999701591903169,2,27,"regulation of vascular endothelial growth factor production","BP",7.40740740740741,"UP","RORA, CCBE1"
"90","GO:0010575",0.00704802780808132,0.999733695221045,2,26,"positive regulation of vascular endothelial growth factor production","BP",7.69230769230769,"UP","RORA, CCBE1"
"91","GO:0010608",0.00388261589377288,0.999024864519763,8,516,"post-transcriptional regulation of gene expression","BP",1.55038759689922,"UP","RPS14, ZFP36, BTG2, EIF1B, RACK1, METAP1, YTHDC1, MIR133A1HG"
"92","GO:0010629",0.0226648522936327,0.991212207294801,10,987,"negative regulation of gene expression","BP",1.01317122593718,"UP","CRYAB, LRP1, CD46, PRKAR1A, ZFP36, BTG2, RACK1, PNRC1, LGR4, MIR133A1HG"
"93","GO:0010810",0.0164932842263492,0.997063353311358,4,202,"regulation of cell-substrate adhesion","BP",1.98019801980198,"UP","ACTG1, PIK3R1, PTEN, HSD17B12"
"94","GO:0010812",0.0278676335600586,0.997765062447665,2,55,"negative regulation of cell-substrate adhesion","BP",3.63636363636364,"UP","PIK3R1, PTEN"
"95","GO:0014823",0.0381940694050708,0.996358291298697,2,63,"response to activity","BP",3.17460317460317,"UP","FOS, SLC38A2"
"96","GO:0014855",0.0389978285441857,0.996235540857156,2,66,"striated muscle cell proliferation","BP",3.03030303030303,"UP","FOS, PRKAR1A"
"97","GO:0014909",0.0464523717656455,0.995060402573003,2,71,"smooth muscle cell migration","BP",2.8169014084507,"UP","LRP1, PDGFD"
"98","GO:0014910",0.0382301818989881,0.996351678505505,2,64,"regulation of smooth muscle cell migration","BP",3.125,"UP","LRP1, PDGFD"
"99","GO:0015370",0.0446049109849428,0.995360833043669,2,71,"solute:sodium symporter activity","MF",2.8169014084507,"UP","SLC4A7, SLC38A2"
"100","GO:0015629",0.00843148984237881,0.997817194045499,7,476,"actin cytoskeleton","CC",1.47058823529412,"UP","ACTB, ACTG1, CRYAB, MYL6, CORIN, DSTN, PKNOX2"
"101","GO:0015695",0.0290171119117924,0.997620836997226,2,56,"organic cation transport","BP",3.57142857142857,"UP","ACTB, SLC38A2"
"102","GO:0015935",0.012173170762128,0.998672858480728,3,72,"small ribosomal subunit","CC",4.16666666666667,"UP","RPS8, RPS14, RACK1"
"103","GO:0016055",0.00403783617843181,0.999089356528884,7,415,"Wnt signaling pathway","BP",1.68674698795181,"UP","EGR1, LRP1, PTEN, WNT9A, RACK1, HBP1, LGR4"
"104","GO:0016101",0.0494789268059535,0.994555081033872,2,70,"diterpenoid metabolic process","BP",2.85714285714286,"UP","LRP1, CYP4V2"
"105","GO:0019210",0.0475866130426393,0.994874031763441,2,70,"kinase inhibitor activity","MF",2.85714285714286,"UP","PRKAR1A, RACK1"
"106","GO:0019637",0.0358857717573487,0.985726562395849,9,895,"organophosphate metabolic process","BP",1.00558659217877,"UP","DPYD, NME3, PIK3R1, PTEN, RORA, SLC4A7, AASS, HSD17B12, LPCAT4"
"107","GO:0019693",0.0411619228033767,0.988297212334764,5,363,"ribose phosphate metabolic process","BP",1.37741046831956,"UP","DPYD, NME3, RORA, AASS, HSD17B12"
"108","GO:0019903",0.0276613740064877,0.995847443019805,3,137,"protein phosphatase binding","MF",2.18978102189781,"UP","LGALS3, PIK3R1, RACK1"
"109","GO:0021542",0.00367435454265267,0.99990297631008,2,19,"dentate gyrus development","BP",10.5263157894737,"UP","PTEN, BTG2"
"110","GO:0021543",0.0425485123153288,0.992440058628109,3,161,"pallium development","BP",1.86335403726708,"UP","PTEN, BTG2, SLC38A2"
"111","GO:0021762",0.0191760157107838,0.998749809976923,2,42,"substantia nigra development","BP",4.76190476190476,"UP","ACTB, S100A1"
"112","GO:0021953",0.0298418551696032,0.995387181192263,3,139,"central nervous system neuron differentiation","BP",2.15827338129496,"UP","PTEN, RORA, BTG2"
"113","GO:0022626",0.0377516937692639,0.993629992357812,3,111,"cytosolic ribosome","CC",2.7027027027027,"UP","RPS8, RPS14, RACK1"
"114","GO:0022627",0.00247216685711775,0.999851877326371,3,38,"cytosolic small ribosomal subunit","CC",7.89473684210526,"UP","RPS8, RPS14, RACK1"
"115","GO:0030029",0.0292648701917372,0.989477897544192,8,751,"actin filament-based process","BP",1.06524633821571,"UP","ACTB, ACTG1, LRP1, MYL6, PIK3R1, PRKAR1A, DSTN, C9orf72"
"116","GO:0030036",0.0436960614907343,0.984217175360601,7,668,"actin cytoskeleton organization","BP",1.04790419161677,"UP","ACTB, ACTG1, LRP1, PIK3R1, PRKAR1A, DSTN, C9orf72"
"117","GO:0030055",0.00573527823839369,0.998619890968865,7,427,"cell-substrate junction","CC",1.63934426229508,"UP","ACTB, ACTG1, CD81, LRP1, CD46, RPS8, RPS14"
"118","GO:0030097",0.0025021131226608,0.999255014631747,11,835,"hemopoiesis","BP",1.31736526946108,"UP","ACTB, CD81, EGR1, FOS, JUNB, CD46, PIK3R1, RORA, RPS14, ZFP36, SBDS"
"119","GO:0030098",0.0110609090533104,0.997340384347032,6,381,"lymphocyte differentiation","BP",1.5748031496063,"UP","ACTB, EGR1, JUNB, CD46, PIK3R1, RORA"
"120","GO:0030099",0.00989587139337145,0.997677075836161,6,371,"myeloid cell differentiation","BP",1.61725067385445,"UP","CD81, FOS, JUNB, PIK3R1, RPS14, ZFP36"
"121","GO:0030100",0.0103699153274766,0.997932279086623,5,265,"regulation of endocytosis","BP",1.88679245283019,"UP","ACTB, ACTG1, LGALS3, LRP1, RACK1"
"122","GO:0030155",0.00859744153255011,0.99731844445467,9,719,"regulation of cell adhesion","BP",1.25173852573018,"UP","ACTB, ACTG1, CD81, LGALS3, CD46, PIK3R1, PRKAR1A, PTEN, HSD17B12"
"123","GO:0030168",0.0233630794041485,0.996715481916461,3,124,"platelet activation","BP",2.41935483870968,"UP","ACTB, ACTG1, METAP1"
"124","GO:0030178",0.0406702021797564,0.992903909847857,3,154,"negative regulation of Wnt signaling pathway","BP",1.94805194805195,"UP","EGR1, LRP1, RACK1"
"125","GO:0030217",0.00246629727586134,0.99956651873296,6,279,"T cell differentiation","BP",2.1505376344086,"UP","ACTB, EGR1, JUNB, CD46, PIK3R1, RORA"
"126","GO:0030239",0.0449939918275073,0.99530229275672,2,68,"myofibril assembly","BP",2.94117647058824,"UP","ACTG1, PRKAR1A"
"127","GO:0030316",0.00116421009753388,0.999903061353905,4,94,"osteoclast differentiation","BP",4.25531914893617,"UP","CD81, FOS, JUNB, PIK3R1"
"128","GO:0030334",0.00862392945080491,0.997124406010661,10,850,"regulation of cell migration","BP",1.17647058823529,"UP","ACTG1, CD81, LGALS3, LRP1, PIK3R1, PTEN, RACK1, CAPN7, PDGFD, CCBE1"
"129","GO:0030335",0.0109937893374798,0.99700486386992,7,494,"positive regulation of cell migration","BP",1.417004048583,"UP","ACTG1, LGALS3, PIK3R1, RACK1, CAPN7, PDGFD, CCBE1"
"130","GO:0030490",0.0293445643565743,0.997585682828735,2,51,"maturation of SSU-rRNA","BP",3.92156862745098,"UP","RPS8, RPS14"
"131","GO:0030968",0.0470450470794026,0.99496257250324,2,71,"endoplasmic reticulum unfolded protein response","BP",2.8169014084507,"UP","PIK3R1, RACK1"
"132","GO:0031400",0.0478321983853815,0.985828955463826,5,398,"negative regulation of protein modification process","BP",1.25628140703518,"UP","LGALS3, PRKAR1A, PTEN, RACK1, C9orf72"
"133","GO:0032835",0.00365251453030726,0.999743032393645,3,65,"glomerulus development","BP",4.61538461538461,"UP","EGR1, LGR4, PDGFD"
"134","GO:0032880",0.0435812692961864,0.983066031066701,8,806,"regulation of protein localization","BP",0.992555831265509,"UP","ACTB, CD81, LGALS3, LRP1, PIK3R1, PRKAR1A, RACK1, C9orf72"
"135","GO:0032922",0.00375122426998483,0.999733573357563,3,65,"circadian regulation of gene expression","BP",4.61538461538461,"UP","EGR1, RORA, LGR4"
"136","GO:0032934",0.00282918089679692,0.999818974345818,3,57,"sterol binding","MF",5.26315789473684,"UP","CD81, RORA, OSBPL9"
"137","GO:0032943",0.0461000657449945,0.988723738187415,4,265,"mononuclear cell proliferation","BP",1.50943396226415,"UP","CD81, LGALS3, CD46, PRKAR1A"
"138","GO:0032944",0.0236077926277683,0.995316725438537,4,213,"regulation of mononuclear cell proliferation","BP",1.87793427230047,"UP","CD81, LGALS3, CD46, PRKAR1A"
"139","GO:0032956",0.0174059938287643,0.996047772960419,5,309,"regulation of actin cytoskeleton organization","BP",1.61812297734628,"UP","ACTG1, LRP1, PIK3R1, DSTN, C9orf72"
"140","GO:0032970",0.0278633266897542,0.99285662992279,5,350,"regulation of actin filament-based process","BP",1.42857142857143,"UP","ACTG1, LRP1, PIK3R1, DSTN, C9orf72"
"141","GO:0033002",0.0141060899996813,0.997603340801919,4,191,"muscle cell proliferation","BP",2.09424083769634,"UP","FOS, PRKAR1A, PTEN, PDGFD"
"142","GO:0033120",0.0139993006242133,0.999230377423336,2,37,"positive regulation of RNA splicing","BP",5.4054054054054,"UP","PIK3R1, SLC38A2"
"143","GO:0033137",0.00749603259846336,0.999706928913708,2,27,"negative regulation of peptidyl-serine phosphorylation","BP",7.40740740740741,"UP","PTEN, RACK1"
"144","GO:0034109",0.0106506122149808,0.998888112600175,3,92,"homotypic cell-cell adhesion","BP",3.26086956521739,"UP","ACTB, ACTG1, METAP1"
"145","GO:0034198",0.023983654170495,0.99823041236261,2,49,"cellular response to amino acid starvation","BP",4.08163265306122,"UP","SLC38A2, MAP1LC3A"
"146","GO:0034248",0.0250471284856033,0.992777352216074,6,455,"regulation of amide metabolic process","BP",1.31868131868132,"UP","RPS14, ZFP36, BTG2, EIF1B, RACK1, METAP1"
"147","GO:0034599",0.0290190872477165,0.993864380511476,4,231,"cellular response to oxidative stress","BP",1.73160173160173,"UP","FOS, RACK1, PDGFD, MAP1LC3A"
"148","GO:0034614",0.00499706121090548,0.999373175564403,4,136,"cellular response to reactive oxygen species","BP",2.94117647058824,"UP","FOS, RACK1, PDGFD, MAP1LC3A"
"149","GO:0035195",0.0362000254359802,0.996648368592191,2,62,"miRNA-mediated post-transcriptional gene silencing","BP",3.2258064516129,"UP","ZFP36, MIR133A1HG"
"150","GO:0035239",0.0404123329942869,0.984530014517932,8,800,"tube morphogenesis","BP",1,"UP","ACTG1, NR4A1, JUNB, LRP1, RORA, S100A1, LGR4, CCBE1"
"151","GO:0035267",0.00627480794800283,0.999777869094332,2,24,"NuA4 histone acetyltransferase complex","CC",8.33333333333333,"UP","ACTB, ACTG1"
"152","GO:0035633",0.0134666099727381,0.99927455823824,2,37,"maintenance of blood-brain barrier","BP",5.4054054054054,"UP","ACTB, ACTG1"
"153","GO:0035710",0.0162546510003317,0.998010570199529,3,107,"CD4-positive, alpha-beta T cell activation","BP",2.80373831775701,"UP","CD81, JUNB, RORA"
"154","GO:0035770",0.00925677411509922,0.998205074422869,5,259,"ribonucleoprotein granule","CC",1.93050193050193,"UP","ACTB, ZFP36, PNRC1, RBFOX1, C9orf72"
"155","GO:0035904",0.0314595096324039,0.997302690898691,2,59,"aorta development","BP",3.38983050847458,"UP","LRP1, ADAMTS6"
"156","GO:0035914",9.77647484173666e-06,0.999999597859704,5,60,"skeletal muscle cell differentiation","BP",8.33333333333333,"UP","EGR1, FOS, NR4A1, BTG2, RBFOX1"
"157","GO:0035924",0.036585806487226,0.996594482831394,2,61,"cellular response to vascular endothelial growth factor stimulus","BP",3.27868852459016,"UP","NR4A1, CCBE1"
"158","GO:0035966",0.00683788518665036,0.999060741349763,4,153,"response to topologically incorrect protein","BP",2.61437908496732,"UP","PIK3R1, HSPB3, RACK1, DNAJB4"
"159","GO:0035976",0.0002281399874365,0.999998922818953,2,5,"transcription factor AP-1 complex","CC",40,"UP","FOS, JUNB"
"160","GO:0036294",0.032173557548122,0.994879398412825,3,142,"cellular response to decreased oxygen levels","BP",2.11267605633803,"UP","EGR1, FOS, RORA"
"161","GO:0036464",0.00702470591839073,0.99872663063639,5,242,"cytoplasmic ribonucleoprotein granule","CC",2.06611570247934,"UP","ACTB, ZFP36, PNRC1, RBFOX1, C9orf72"
"162","GO:0038066",0.025838893601123,0.998013954024312,2,51,"p38MAPK cascade","BP",3.92156862745098,"UP","ZFP36, GADD45G"
"163","GO:0040012",0.0164286476480194,0.993950038193716,10,937,"regulation of locomotion","BP",1.06723585912487,"UP","ACTG1, CD81, LGALS3, LRP1, PIK3R1, PTEN, RACK1, CAPN7, PDGFD, CCBE1"
"164","GO:0040017",0.0158916420301469,0.995345443608831,7,530,"positive regulation of locomotion","BP",1.32075471698113,"UP","ACTG1, LGALS3, PIK3R1, RACK1, CAPN7, PDGFD, CCBE1"
"165","GO:0042093",0.0419805490492992,0.995782107983583,2,66,"T-helper cell differentiation","BP",3.03030303030303,"UP","JUNB, RORA"
"166","GO:0042098",0.0152828920569722,0.997341915296437,4,187,"T cell proliferation","BP",2.13903743315508,"UP","CD81, LGALS3, CD46, PRKAR1A"
