bin.chrom	bin.start.chrompos	bin.start.abspos	bin.end.chrompos	bin.length	mappable.positions	gc.content
chr1	21239563	21239563	21718772	479209	415662	0.442409382108
chr1	21718772	21718772	22221042	502270	415662	0.496066864302
chr1	22221042	22221042	22706773	485731	415663	0.49880798465
chr1	22706773	22706773	23146152	439379	415662	0.496699895307
chr1	23146152	23146152	23617453	471301	415662	0.457676818685
chr1	23617453	23617453	24107941	490488	415662	0.473229776815
chr1	24107941	24107941	24683883	575942	415662	0.475472399178
chr1	24683883	24683883	25167104	483221	415662	0.446337294246
chr1	25167104	25167104	25670027	502923	415662	0.487978302885
chr1	25670027	25670027	26171648	501621	415662	0.477913648125
chr1	26171648	26171648	26650835	479187	415662	0.485961668489
chr1	26650835	26650835	27156593	505758	415662	0.477899552949
chr1	27156593	27156593	27665852	509259	415662	0.490943722264
chr1	27665852	27665852	28148634	482782	415663	0.489731411421
chr1	28148634	28148634	28650576	501942	415662	0.453352273067
chr1	28650576	28650576	29187802	537226	415662	0.461922055295
chr1	29187802	29187802	29669801	481999	415662	0.459143153527
chr1	29669801	29669801	30262677	592876	415662	0.479823969183
chr1	30262677	30262677	30704006	441329	415662	0.476185620737
chr1	30704006	30704006	31162296	458290	415662	0.476332723095
chr1	31162296	31162296	31630684	468388	415662	0.477212317112
chr1	31630684	31630684	32109829	479145	415662	0.466360983917
chr1	32109829	32109829	32583376	473547	415662	0.486373081504
chr1	32583376	32583376	33091693	508317	415662	0.470488945896
chr1	33091693	33091693	33588076	496383	415663	0.475099922641
chr1	33588076	33588076	34039086	451010	415662	0.462800242123
chr1	34039086	34039086	34480460	441374	415662	0.453990371
chr1	34480460	34480460	34924626	444166	415662	0.442191788224
chr1	34924626	34924626	35372370	447744	415662	0.455035790461
chr1	35372370	35372370	35873632	501262	415662	0.416078984485
chr1	35873632	35873632	36349849	476217	415662	0.439958170418
chr1	36349849	36349849	36833421	483572	415662	0.4608962866
chr1	36833421	36833421	37284851	451430	415662	0.485385363433
chr1	37284851	37284851	37720696	435845	415662	0.475883683686
chr1	37720696	37720696	38183275	462579	415662	0.479763500368
chr1	38183275	38183275	38661362	478087	415663	0.481449021937
chr1	38661362	38661362	39106489	445127	415662	0.442618752359
chr1	39106489	39106489	39600442	493953	415662	0.45071200962
chr1	39600442	39600442	40091197	490755	415662	0.441094963689
chr1	40091197	40091197	40584352	493155	415662	0.467010438887
chr1	40584352	40584352	41075233	490881	415662	0.423462257732
chr1	41075233	41075233	41533322	458089	415662	0.47440022703
chr1	41533322	41533322	41985661	452339	415662	0.457684485122
chr1	41985661	41985661	42423005	437344	415662	0.470948564634
chr1	42423005	42423005	42885707	462702	415662	0.41207859037
chr1	42885707	42885707	43356153	470446	415662	0.423682157608
chr1	43356153	43356153	43832261	476108	415663	0.466225171127
chr1	43832261	43832261	44289544	457283	415662	0.476419467989
chr1	44289544	44289544	44743055	453511	415662	0.476225546402
chr1	44743055	44743055	45196128	453073	415662	0.468040540839
chr1	45196128	45196128	45702659	506531	415662	0.441399556198
chr1	45702659	45702659	46214255	511596	415662	0.438691000925
chr1	46214255	46214255	46695458	481203	415662	0.428163523163
chr1	46695458	46695458	47170286	474828	415662	0.484069001683
chr1	47170286	47170286	47761708	591422	415662	0.423990950639
chr1	47761708	47761708	48214177	452469	415662	0.466181183283
chr1	48214177	48214177	48661275	447098	415662	0.460817402857
chr1	48661275	48661275	49132313	471038	415663	0.41000002123
chr1	49132313	49132313	49574254	441941	415662	0.411823270927
chr1	49574254	49574254	50048955	474701	415662	0.3786291189
chr1	50048955	50048955	50534396	485441	415662	0.36980318967
chr1	50534396	50534396	50980511	446115	415662	0.422470837181
chr1	50980511	50980511	51459942	479431	415662	0.382538086736
chr1	51459942	51459942	51939287	479345	415662	0.411936263159
chr1	51939287	51939287	52406122	466835	415662	0.405122998226
chr1	52406122	52406122	52899946	493824	415662	0.426114514251
chr1	52899946	52899946	53389546	489600	415662	0.427229519548
chr1	53389546	53389546	53842917	453371	415662	0.468026256584
chr1	53842917	53842917	54287720	444803	415663	0.482162930189
chr1	54287720	54287720	54749940	462220	415662	0.461303142869
chr1	54749940	54749940	55227308	477368	415662	0.493576248143
chr1	55227308	55227308	55687990	460682	415662	0.449048478021
chr1	55687990	55687990	56143242	455252	415662	0.41907027521
chr1	56143242	56143242	56589819	446577	415662	0.395677798727
chr1	56589819	56589819	57035611	445792	415662	0.412337116105
chr1	57035611	57035611	57477305	441694	415662	0.399907175766
chr1	57477305	57477305	57911493	434188	415662	0.410429559478
chr1	57911493	57911493	58355200	443707	415662	0.400098713568
chr1	58355200	58355200	58810630	455430	415662	0.414367928402
chr1	58810630	58810630	59267439	456809	415663	0.41174667805
chr1	59267439	59267439	59706532	439093	415662	0.425232410372
chr1	59706532	59706532	60183358	476826	415662	0.403815220195
chr1	60183358	60183358	60620318	436960	415662	0.3839541744
chr1	60620318	60620318	61084225	463907	415662	0.375305017374
chr1	61084225	61084225	61538685	454460	415662	0.406012837185
chr1	61538685	61538685	61974175	435490	415662	0.39280719923
chr1	61974175	61974175	62451057	476882	415662	0.402723519186
chr1	62451057	62451057	62930681	479624	415662	0.436474328903
chr1	62930681	62930681	63402383	471702	415662	0.374513200043
chr1	63402383	63402383	63856563	454180	415662	0.407181277949
chr1	63856563	63856563	64310855	454292	415663	0.400501438499
chr1	64310855	64310855	64757831	446976	415662	0.40503650076
chr1	64757831	64757831	65207793	449962	415662	0.407211259592
chr1	65207793	65207793	65670818	463025	415662	0.418395511267
chr1	65670818	65670818	66142740	471922	415662	0.38889183193
chr1	66142740	66142740	66604155	461415	415662	0.370500806214
chr1	66604155	66604155	67058834	454679	415662	0.387606668426
chr1	67058834	67058834	67507891	449057	415662	0.371413046867
chr1	67507891	67507891	67990702	482811	415662	0.407106699916
chr1	67990702	67990702	68434225	443523	415662	0.416392348554
chr1	68434225	68434225	68893418	459193	415662	0.40205882481
chr1	68893418	68893418	69353893	460475	415663	0.37136788888
chr1	69353893	69353893	69817277	463384	415662	0.37213116523
chr1	69817277	69817277	70262144	444867	415662	0.358432164148
chr1	70262144	70262144	70724729	462585	415662	0.35784697332
chr1	70724729	70724729	71196036	471307	415662	0.384082171319
chr1	71196036	71196036	71651816	455780	415662	0.378343985379
chr1	71651816	71651816	72099309	447493	415662	0.362585867073
chr1	72099309	72099309	72537098	437789	415662	0.35060645515
chr1	72537098	72537098	72979333	442235	415662	0.345146030626
chr1	72979333	72979333	73421417	442084	415662	0.34995984935
chr1	73421417	73421417	73874525	453108	415662	0.350964116802
chr1	73874525	73874525	74316533	442008	415663	0.352388752265
chr1	74316533	74316533	74763622	447089	415662	0.350057035496
chr1	74763622	74763622	75208127	444505	415662	0.373360539565
chr1	75208127	75208127	75679101	470974	415662	0.372792611073
chr1	75679101	75679101	76151305	472204	415662	0.373085841954
chr1	76151305	76151305	76623806	472501	415662	0.389793059077
chr1	76623806	76623806	77067351	443545	415662	0.381834127689
chr1	77067351	77067351	77524652	457301	415662	0.390070456722
chr1	77524652	77524652	77973501	448849	415662	0.377482455163
chr1	77973501	77973501	78446113	472612	415662	0.393505891713
chr1	78446113	78446113	78921129	475016	415663	0.383375752868
chr1	78921129	78921129	79372692	451563	415662	0.367507152917
chr1	79372692	79372692	79814203	441511	415662	0.35176620341
chr1	79814203	79814203	80271798	457595	415662	0.356609323508
chr1	80271798	80271798	80729815	458017	415662	0.358110379941
chr1	80729815	80729815	81181324	451509	415662	0.345724347191
chr1	81181324	81181324	81627706	446382	415662	0.355887208966
chr1	81627706	81627706	82067749	440043	415662	0.372640008726
chr1	82067749	82067749	82511542	443793	415662	0.364049536497
chr1	82511542	82511542	82963284	451742	415662	0.371830886145
chr1	82963284	82963284	83397192	433908	415662	0.357441306818
chr1	83397192	83397192	84071554	674362	415663	0.370349500195
chr1	84071554	84071554	84510564	439010	415662	0.38068522201
chr1	84510564	84510564	84962159	451595	415662	0.374332367869
chr1	84962159	84962159	85405124	442965	415662	0.401755439469
chr1	85405124	85405124	85857576	452452	415662	0.397893261842
chr1	85857576	85857576	86328378	470802	415662	0.386140275232
chr1	86328378	86328378	86803927	475549	415662	0.368810850594
chr1	86803927	86803927	87278563	474636	415662	0.385968645512
chr1	87278563	87278563	87731777	453214	415662	0.396290943592
chr1	87731777	87731777	88184787	453010	415662	0.396736503087
chr1	88184787	88184787	88614830	430043	415662	0.375761549981
chr1	88614830	88614830	89053199	438369	415663	0.374177065036
chr1	89053199	89053199	89528949	475750	415662	0.38461716318
chr1	89528949	89528949	90022188	493239	415662	0.389406779661
chr1	90022188	90022188	90475669	453481	415662	0.404408554254
chr1	90475669	90475669	90937625	461956	415662	0.383583320526
chr1	90937625	90937625	91387014	449389	415662	0.393035003004
chr1	91387014	91387014	91885011	497997	415662	0.390097952201
chr1	91885011	91885011	92346149	461138	415662	0.415746662069
chr1	92346149	92346149	92828855	482706	415662	0.393306912889
chr1	92828855	92828855	93330657	501802	415662	0.398471113166
chr1	93330657	93330657	93800386	469729	415662	0.388893619739
chr1	93800386	93800386	94265337	464951	415663	0.418335656154
chr1	94265337	94265337	94729980	464643	415662	0.418658155491
chr1	94729980	94729980	95193344	463364	415662	0.410928749474
chr1	95193344	95193344	95653071	459727	415662	0.414616903908
chr1	95653071	95653071	96100982	447911	415662	0.384968475951
chr1	96100982	96100982	96547033	446051	415662	0.369028723109
chr1	96547033	96547033	97008943	461910	415662	0.374321027211
chr1	97008943	97008943	97470954	462011	415662	0.373434023359
chr1	97470954	97470954	97920269	449315	415662	0.360999830854
chr1	97920269	97920269	98355201	434932	415662	0.344436959256
chr1	98355201	98355201	98793608	438407	415662	0.355036860641
chr1	98793608	98793608	99238957	445349	415663	0.362914561581
chr1	99238957	99238957	99693936	454979	415662	0.373618620599
chr1	99693936	99693936	100151726	457790	415662	0.372196045794
chr1	100151726	100151726	100614197	462471	415662	0.383086976076
chr1	100614197	100614197	101073756	459559	415662	0.388397597702
chr1	101073756	101073756	101541881	468125	415662	0.374777303546
chr1	101541881	101541881	101992477	450596	415662	0.390752712513
chr1	101992477	101992477	102433494	441017	415662	0.355393657402
chr1	102433494	102433494	102881084	447590	415662	0.34747570885
chr1	102881084	102881084	103350694	469610	415662	0.353360547347
chr1	103350694	103350694	104015682	664988	415662	0.343097193608
chr1	104015682	104015682	104626974	611292	415663	0.350305009218
chr1	104626974	104626974	105081751	454777	415662	0.353515341551
chr1	105081751	105081751	105555295	473544	415662	0.348862304533
chr1	105555295	105555295	106005868	450573	415662	0.341198116181
chr1	106005868	106005868	106457620	451752	415662	0.345038107107
chr1	106457620	106457620	106913552	455932	415662	0.349325449134
chr1	106913552	106913552	107355177	441625	415662	0.357295539665
chr1	107355177	107355177	107799586	444409	415662	0.368153281879
chr1	107799586	107799586	108233670	434084	415662	0.379153852356
chr1	108233670	108233670	108679629	445959	415662	0.389819714773
chr1	108679629	108679629	109362578	682949	415662	0.397250164727
chr1	109362578	109362578	109842957	480379	415663	0.446677630209
chr1	109842957	109842957	110321377	478420	415662	0.455385528645
chr1	110321377	110321377	110765219	443842	415662	0.479511899478
chr1	110765219	110765219	111206021	440802	415662	0.459906125866
chr1	111206021	111206021	111670811	464790	415662	0.387744168885
chr1	111670811	111670811	112127180	456369	415662	0.412009991893
chr1	112127180	112127180	112564363	437183	415662	0.447477492314
chr1	112564363	112564363	113033677	469314	415662	0.424552805685
chr1	113033677	113033677	113532549	498872	415662	0.441601369487
chr1	113532549	113532549	114015165	482616	415662	0.411114817754
chr1	114015165	114015165	114496734	481569	415662	0.386753742966
chr1	114496734	114496734	114954891	458157	415663	0.435705586282
chr1	114954891	114954891	115419828	464937	415662	0.393007239675
chr1	115419828	115419828	115874096	454268	415662	0.399864397527
chr1	115874096	115874096	116330392	456296	415662	0.425415902362
chr1	116330392	116330392	116785761	455369	415662	0.405916068252
chr1	116785761	116785761	117258545	472784	415662	0.437109891388
chr1	117258545	117258545	117713576	455031	415662	0.429497266126
chr1	117713576	117713576	118176110	462534	415662	0.404840714757
chr1	118176110	118176110	118630455	454345	415662	0.394743213322
chr1	118630455	118630455	119085584	455129	415662	0.377742622987
chr1	119085584	119085584	119560974	475390	415662	0.388078444901
chr1	119560974	119560974	120031502	470528	415663	0.407190630121
chr1	120031502	120031502	120507187	475685	415662	0.424847483424
chr1	120507187	120507187	144547672	24040485	415662	0.406906503853
chr1	144547672	144547672	145556181	1008509	415662	0.420860560739
chr1	145556181	145556181	146770375	1214194	415662	0.421872871043
chr1	146770375	146770375	147252100	481725	415662	0.41165932501
chr1	147252100	147252100	149231749	1979649	415662	0.417307631437
chr1	149231749	149231749	150233865	1002116	415662	0.425200894428
chr1	150233865	150233865	150749874	516009	415662	0.442225925854
chr1	150749874	150749874	151260841	510967	415662	0.459381017989
chr1	151260841	151260841	151743691	482850	415662	0.452290665236
chr1	151743691	151743691	152201412	457721	415663	0.438189556106
chr1	152201412	152201412	152692289	490877	415662	0.4092524008
chr1	152692289	152692289	153155118	462829	415662	0.402761273038
chr1	153155118	153155118	153631087	475969	415662	0.462940941656
chr1	153631087	153631087	154144886	513799	415662	0.46243285325
chr1	154144886	154144886	154633493	488607	415662	0.464990339904
chr1	154633493	154633493	155092972	459479	415662	0.503268912684
chr1	155092972	155092972	155625913	532941	415662	0.465129413707
chr1	155625913	155625913	156144882	518969	415662	0.476310769409
chr1	156144882	156144882	156622073	477191	415662	0.498646247213
chr1	156622073	156622073	157075671	453598	415662	0.494758586328
chr1	157075671	157075671	157552720	477049	415663	0.434166229955
chr1	157552720	157552720	158004479	451759	415662	0.408750221356
chr1	158004479	158004479	158488750	484271	415662	0.405957808835
chr1	158488750	158488750	158945135	456385	415662	0.371374231462
chr1	158945135	158945135	159408540	463405	415662	0.391507662827
chr1	159408540	159408540	159883255	474715	415662	0.412265438704
chr1	159883255	159883255	160325117	441862	415662	0.462274505899
chr1	160325117	160325117	160800789	475672	415662	0.426063703427
chr1	160800789	160800789	161300647	499858	415662	0.465151172631
chr1	161300647	161300647	161916168	615521	415662	0.427726385085
chr1	161916168	161916168	162354173	438005	415662	0.433514609389
chr1	162354173	162354173	162846828	492655	415663	0.404209022117
chr1	162846828	162846828	163291029	444201	415662	0.384403942351
chr1	163291029	163291029	163740784	449755	415662	0.37734460463
chr1	163740784	163740784	164203140	462356	415662	0.36971863733
chr1	164203140	164203140	164655443	452303	415662	0.395072782907
chr1	164655443	164655443	165102086	446643	415662	0.408741637635
chr1	165102086	165102086	165531223	429137	415662	0.429756861429
chr1	165531223	165531223	166002857	471634	415662	0.418132666151
chr1	166002857	166002857	166489612	486755	415662	0.41149569805
chr1	166489612	166489612	166948368	458756	415662	0.394254474591
chr1	166948368	166948368	167391857	443489	415662	0.402401407022
chr1	167391857	167391857	167850212	458355	415663	0.442793374582
chr1	167850212	167850212	168310103	459891	415662	0.40340558218
chr1	168310103	168310103	168772805	462702	415662	0.404453828914
chr1	168772805	168772805	169219270	446465	415662	0.390441825357
chr1	169219270	169219270	169697515	478245	415662	0.381351856576
chr1	169697515	169697515	170161636	464121	415662	0.372929962381
chr1	170161636	170161636	170625884	464248	415662	0.378469312804
chr1	170625884	170625884	171083910	458026	415662	0.379128304663
chr1	171083910	171083910	171557746	473836	415662	0.399394728567
chr1	171557746	171557746	172019576	461830	415662	0.399187148546
chr1	172019576	172019576	172481746	462170	415662	0.378435687224
chr1	172481746	172481746	172930701	448955	415663	0.385057778491
chr1	172930701	172930701	173411173	480472	415662	0.390958492985
chr1	173411173	173411173	173908244	497071	415662	0.397996668491
chr1	173908244	173908244	174396970	488726	415662	0.385307134658
chr1	174396970	174396970	174898951	501981	415662	0.381623245455
chr1	174898951	174898951	175353260	454309	415662	0.422343774075
chr1	175353260	175353260	175785809	432549	415662	0.438649867067
chr1	175785809	175785809	176251196	465387	415662	0.385865127592
chr1	176251196	176251196	176706689	455493	415662	0.389794377094
chr1	176706689	176706689	177136462	429773	415662	0.412265516295
chr1	177136462	177136462	177582500	446038	415663	0.402065738646
chr1	177582500	177582500	178051586	469086	415662	0.414618183834
chr1	178051586	178051586	178506810	455224	415662	0.386101378439
chr1	178506810	178506810	178982273	475463	415662	0.405035922804
chr1	178982273	178982273	179476592	494319	415662	0.414690888493
chr1	179476592	179476592	179950893	474301	415662	0.40830736535
chr1	179950893	179950893	180404805	453912	415662	0.413140844171
chr1	180404805	180404805	180875226	470421	415662	0.387832626875
chr1	180875226	180875226	181339452	464226	415662	0.459133139606
chr1	181339452	181339452	181769353	429901	415662	0.436627417411
chr1	181769353	181769353	182237386	468033	415662	0.411309862104
chr1	182237386	182237386	182689514	452128	415663	0.429443809178
chr1	182689514	182689514	183150452	460938	415662	0.401248321361
chr1	183150452	183150452	183607485	457033	415662	0.423613998083
chr1	183607485	183607485	184055867	448382	415662	0.397660036174
chr1	184055867	184055867	184511165	455298	415662	0.402324626235
chr1	184511165	184511165	184964887	453722	415662	0.39767655596
chr1	184964887	184964887	185435768	470881	415662	0.386336704312
chr1	185435768	185435768	185896976	461208	415662	0.373921584358
chr1	185896976	185896976	186348631	451655	415662	0.365559186638
chr1	186348631	186348631	186810705	462074	415662	0.36853973922
chr1	186810705	186810705	187255497	444792	415662	0.35853307044
chr1	187255497	187255497	187712235	456738	415663	0.361068356326
chr1	187712235	187712235	188164643	452408	415662	0.350273756711
chr1	188164643	188164643	188603653	439010	415662	0.338984672366
chr1	188603653	188603653	189054905	451252	415662	0.342778884573
chr1	189054905	189054905	189518131	463226	415662	0.340627813146
chr1	189518131	189518131	189958431	440300	415662	0.339858415039
chr1	189958431	189958431	190394564	436133	415662	0.33460587801
chr1	190394564	190394564	190832205	437641	415662	0.336891797405
chr1	190832205	190832205	191280359	448154	415662	0.342604679185
chr1	191280359	191280359	191726691	446332	415662	0.343913625029
chr1	191726691	191726691	192167842	441151	415662	0.343085829827
chr1	192167842	192167842	192619019	451177	415663	0.356356027998
chr1	192619019	192619019	193075395	456376	415662	0.375849352619
chr1	193075395	193075395	193521951	446556	415662	0.370371531518
chr1	193521951	193521951	193976745	454794	415662	0.358574742466
chr1	193976745	193976745	194431473	454728	415662	0.351959078924
chr1	194431473	194431473	194878142	446669	415662	0.338278818815
chr1	194878142	194878142	195321580	443438	415662	0.33899589346
chr1	195321580	195321580	195765821	444241	415662	0.342734365503
chr1	195765821	195765821	196223081	457260	415662	0.350381948165
chr1	196223081	196223081	196656183	433102	415662	0.339750590506
chr1	196656183	196656183	197192940	536757	415662	0.356289053913
chr1	197192940	197192940	197640720	447780	415663	0.354816305292
chr1	197640720	197640720	198100544	459824	415662	0.377687163595
chr1	198100544	198100544	198545103	444559	415662	0.36168796113
chr1	198545103	198545103	198978031	432928	415662	0.352552035091
chr1	198978031	198978031	199420083	442052	415662	0.358665137438
chr1	199420083	199420083	199884894	464811	415662	0.37264958736
chr1	199884894	199884894	200356273	471379	415662	0.416061351776
chr1	200356273	200356273	200828474	472201	415662	0.398736134112
chr1	200828474	200828474	201277850	449376	415662	0.500270374318
chr1	201277850	201277850	201723859	446009	415662	0.49814129728
chr1	201723859	201723859	202202842	478983	415662	0.483767725018
chr1	202202842	202202842	202732230	529388	415663	0.437806603462
chr1	202732230	202732230	203191161	458931	415662	0.467029973939
chr1	203191161	203191161	203659166	468005	415662	0.471276009282
chr1	203659166	203659166	204147544	488378	415662	0.454653046097
chr1	204147544	204147544	204595924	448380	415662	0.474395659049
chr1	204595924	204595924	205030362	434438	415662	0.476658403136
chr1	205030362	205030362	205498142	467780	415662	0.476588403548
chr1	205498142	205498142	206223693	725551	415662	0.449835983543
chr1	206223693	206223693	206907215	683522	415662	0.455371183623
chr1	206907215	206907215	207346124	438909	415662	0.433382698047
chr1	207346124	207346124	207864826	518702	415662	0.387701632726
chr1	207864826	207864826	208315321	450495	415663	0.444101612445
chr1	208315321	208315321	208746768	431447	415662	0.431247798112
chr1	208746768	208746768	209199020	452252	415662	0.399398124501
chr1	209199020	209199020	209645061	446041	415662	0.41405517866
chr1	209645061	209645061	210079153	434092	415662	0.440366465251
chr1	210079153	210079153	210543484	464331	415662	0.394702497351
chr1	210543484	210543484	210989349	445865	415662	0.426516038451
chr1	210989349	210989349	211487107	497758	415662	0.400107280833
chr1	211487107	211487107	211963322	476215	415662	0.439015068792
chr1	211963322	211963322	212431780	468458	415662	0.414757748277
chr1	212431780	212431780	212896058	464278	415662	0.44025682833
chr1	212896058	212896058	213383407	487349	415663	0.409065353442
chr1	213383407	213383407	213837925	454518	415662	0.414015695713
chr1	213837925	213837925	214273747	435822	415662	0.411281644154
chr1	214273747	214273747	214715141	441394	415662	0.412199956955
chr1	214715141	214715141	215173110	457969	415662	0.391783304583
chr1	215173110	215173110	215622027	448917	415662	0.367505869669
chr1	215622027	215622027	216069766	447739	415662	0.371342743557
chr1	216069766	216069766	216511932	442166	415662	0.357824080042
chr1	216511932	216511932	216947561	435629	415662	0.366570254574
chr1	216947561	216947561	217376485	428924	415662	0.387899982514
chr1	217376485	217376485	217826992	450507	415662	0.375034405604
chr1	217826992	217826992	218279095	452103	415663	0.372020597031
chr1	218279095	218279095	218723000	443905	415662	0.388561992854
chr1	218723000	218723000	219171774	448774	415662	0.381030583254
chr1	219171774	219171774	219608844	437070	415662	0.367301880015
chr1	219608844	219608844	220091935	483091	415662	0.390753728068
chr1	220091935	220091935	220559843	467908	415662	0.396981036911
chr1	220559843	220559843	221013077	453234	415662	0.406438161219
chr1	221013077	221013077	221464451	451374	415662	0.392239268901
chr1	221464451	221464451	221903972	439521	415662	0.382497349393
chr1	221903972	221903972	222355848	451876	415662	0.407161683378
chr1	222355848	222355848	222849139	493291	415662	0.41102835643
chr1	222849139	222849139	223314080	464941	415663	0.405416159435
chr1	223314080	223314080	223849352	535272	415662	0.451902331265
chr1	223849352	223849352	224452528	603176	415662	0.432203150982
chr1	224452528	224452528	224914834	462306	415662	0.427947229871
chr1	224914834	224914834	225406420	491586	415662	0.393100305744
chr1	225406420	225406420	225874028	467608	415662	0.401328888024
chr1	225874028	225874028	226368779	494751	415662	0.471486724662
chr1	226368779	226368779	226831728	462949	415662	0.458192029377
chr1	226831728	226831728	227290661	458933	415662	0.447685288081
chr1	227290661	227290661	227770552	479891	415662	0.404591032982
chr1	227770552	227770552	228249291	478739	415662	0.475704975561
chr1	228249291	228249291	228690559	441268	415663	0.522953119299
chr1	228690559	228690559	229190141	499582	415662	0.461464861695
chr1	229190141	229190141	229650593	460452	415662	0.444427552866
chr1	229650593	229650593	230103997	453404	415662	0.426552420022
chr1	230103997	230103997	230541317	437320	415662	0.463819482714
chr1	230541317	230541317	230994376	453059	415662	0.435262437646
chr1	230994376	230994376	231449769	455393	415662	0.440622845272
chr1	231449769	231449769	231915088	465319	415662	0.407813977478
chr1	231915088	231915088	232381183	466095	415662	0.417911760667
chr1	232381183	232381183	232817273	436090	415662	0.418855238929
chr1	232817273	232817273	233267170	449897	415662	0.419034981262
chr1	233267170	233267170	233710731	443561	415663	0.399306072206
chr1	233710731	233710731	234168011	457280	415662	0.402761103129
chr1	234168011	234168011	234623784	455773	415662	0.42040353333
chr1	234623784	234623784	235095422	471638	415662	0.453881040372
chr1	235095422	235095422	235641838	546416	415662	0.429397059327
chr1	235641838	235641838	236107864	466026	415662	0.416726927839
chr1	236107864	236107864	236589649	481785	415662	0.438016048619
chr1	236589649	236589649	237049232	459583	415662	0.418994133825
chr1	237049232	237049232	237515002	465770	415662	0.412754336358
chr1	237515002	237515002	237960896	445894	415662	0.371829690846
chr1	237960896	237960896	238417403	456507	415662	0.391767504622
chr1	238417403	238417403	238864489	447086	415663	0.367854578639
chr1	238864489	238864489	239313857	449368	415662	0.360476579381
chr1	239313857	239313857	239754700	440843	415662	0.375962925661
chr1	239754700	239754700	240205156	450456	415662	0.395158694393
chr1	240205156	240205156	240658371	453215	415662	0.395875255949
chr1	240658371	240658371	241127019	468648	415662	0.399723460415
chr1	241127019	241127019	241573198	446179	415662	0.395595947824
chr1	241573198	241573198	242024779	451581	415662	0.389473008224
chr1	242024779	242024779	242576026	551247	415662	0.416745276173
chr1	242576026	242576026	243060612	484586	415662	0.40231372282
chr1	243060612	243060612	243712728	652116	415662	0.401572110526
chr1	243712728	243712728	244167245	454517	415663	0.3842202069
chr1	244167245	244167245	244613958	446713	415662	0.429820869729
chr1	244613958	244613958	245106502	492544	415662	0.422103564141
chr1	245106502	245106502	245572369	465867	415662	0.43841817854
chr1	245572369	245572369	246032794	460425	415662	0.4400468262
chr1	246032794	246032794	246486925	454131	415662	0.402790378128
chr1	246486925	246486925	246973972	487047	415662	0.427204300192
chr1	246973972	246973972	247475080	501108	415662	0.422632600891
chr1	247475080	247475080	247950894	475814	415662	0.408347782226
chr1	247950894	247950894	248469416	518522	415662	0.37886843978
chr1	248469416	248469416	249250621	781205	415663	0.403987411563
chr2	0	249250621	471608	471608	415911	0.43024724388
chr2	471608	249722229	916711	445103	415912	0.452011215356
chr2	916711	250167332	1381310	464599	415912	0.435269048644
chr2	1381310	250631931	1853804	472494	415911	0.497046529593
chr2	1853804	251104425	2301388	447584	415912	0.439132231867
chr2	2301388	251552009	2740994	439606	415912	0.440195447297
chr2	2740994	251991615	3187478	446484	415911	0.464877879436
chr2	3187478	252438099	3699538	512060	415912	0.483998865951
chr2	3699538	252950159	4159061	459523	415912	0.436471218043
