Harris,Semenza,Winter,Elvidge,Leonard,Percio,Buffa,Ragnum,Winter2
,,TNS4,KLHL24,,P4HTM,,SAP30,SNX24
,,TPBG,KRT15,,PDGFA,,SCD,SPTB
,,TPD52L2,KRT7,,PDK1,,SCNN1G,TEAD4
,,TPI1,LIMCH1,,PFKFB3,,SLC16A3,TFAP2C
,,TRMT5,LOX,,PFKL,,SLC2A1,TIMM23
,,TUBB4B,LOXL1,,PGK1,,SLC6A10P,TMEM30B
,,VAPB,LOXL2,,PKM,,SMYD2,TPBG
,,VEGFA,MAFF,,PLAUR,,SOX4,TPD52L2
,,VEZT,MET,,PMAIP1,,SPAG4,TPI1
,,XPO5,MT-ND5,,PPP5C,,SPRY1,TUBB2
,,,MXI1,,PROK1,,STC1,VAPB
,,,NAP1L1,,RCOR2,,STC2,VEGF
,,,NDRG1,,S100A4,,TINF2,VEZATIN
,,,NFIL3,,SENP1,,TMEM45A,XPO5
,,,NOL3,,SERPINE1,,TNFRSF19,
,,,NR3C1,,SLC2A1,,TUBB3,
,,,NREP,,SLC2A3,,VEGFB,
,,,OBSL1,,SOX9,,VKORC1,
,,,OLFML2A,,STC2,,VPS37D,
,,,OPN3,,TCF3,,WDR54,
,,,ORAI3,,TERT,,WSB1,
,,,P4HA1,,TF,,ZNF395,
,,,P4HA2,,TFF3,,,
,,,PAM,,TFRC,,,
,,,PDGFB,,TGFA,,,
,,,PDGFRL,,TGFB3,,,
,,,PDK1,,TGM2,,,
,,,PFKFB3,,TPI1,,,
,,,PFKP,,TWIST1,,,
,,,PGAP1,,UCN2,,,
,,,PGK1,,VEGFA,,,
,,,PGM1,,VIM,,,
,,,PIM1,,ZEB1,,,
,,,PLAC8,,ZEB2,,,
,,,PLAUR,,,,,
,,,PLIN2,,,,,
,,,PPFIA4,,,,,
,,,PRKCA,,,,,
,,,PXDN,,,,,
,,,QSOX1,,,,,
,,,RASA4,,,,,
,,,RBCK1,,,,,
,,,RBPJ,,,,,
,,,RLF,,,,,
,,,RNASE4,,,,,
,,,RRAGD,,,,,
,,,S100A2,,,,,
,,,S100A4,,,,,
,,,S100A6,,,,,
,,,SAMD4A,,,,,
,,,SAT1,,,,,
,,,SCARB1,,,,,
,,,SCNN1B,,,,,
,,,SERPINE1,,,,,
,,,SFXN3,,,,,
,,,SH3GL3,,,,,
,,,SLC2A1,,,,,
,,,SLCO4A1,,,,,
,,,SORL1,,,,,
,,,SOX9,,,,,
,,,SPAG4,,,,,
,,,SPOCK1,,,,,
,,,SPRY1,,,,,
,,,SRD5A3,,,,,
,,,SRPX,,,,,
,,,STBD1,,,,,
,,,STC1,,,,,
,,,STC2,,,,,
,,,TBC1D3F,,,,,
,,,TGFBI,,,,,
,,,TIPARP,,,,,
,,,TMEFF1,,,,,
,,,TMEM265,,,,,
,,,TMEM45A,,,,,
,,,TNFAIP8,,,,,
,,,TXNIP,,,,,
,,,UPK1A,,,,,
,,,VEGFA,,,,,
,,,VEGFC,,,,,
,,,VLDLR,,,,,
,,,WSB1,,,,,
,,,YEATS2,,,,,
,,,YPEL1,,,,,
,,,ZMYND8,,,,,
,,,ZNF292,,,,,
,,,ZNF395,,,,,
,,,ZNF654,,,,,
