SYMBOL,Chromosome
OCRL,chr-X
OFD1,chr-X
P2RY8,chr-X
PDK3,chr-X
PDZD4,chr-X
PGK1,chr-X
PGRMC1,chr-X
PHF8,chr-X
PHKA2,chr-X
PIN4,chr-X
PLXNA3,chr-X
POF1B,chr-X
PRDX4,chr-X
PTCHD1-AS,chr-X
PUDP,chr-X
RAB40AL,chr-X
RAB9A,chr-X
RAP2C,chr-X
RBBP7,chr-X
RBM41,chr-X
RBMX,chr-X
REPS2,chr-X
RLIM,chr-X
RNF128,chr-X
RP2,chr-X
RTL8A,chr-X
SCML1,chr-X
SHOX,chr-X
SLC25A43,chr-X
SLC25A53,chr-X
SLC25A6,chr-X
SLC6A8,chr-X
SLC9A6,chr-X
SLITRK4,chr-X
SMS,chr-X
SPIN4,chr-X
TAB3,chr-X
TAF1,chr-X
TBC1D8B,chr-X
TCEAL7,chr-X
TCEAL9,chr-X
TENM1,chr-X
TMEM47,chr-X
TRMT2B,chr-X
TSC22D3,chr-X
UBA1,chr-X
UPF3B,chr-X
UPRT,chr-X
UTP14A,chr-X
VSIG4,chr-X
WDR44,chr-X
WNK3,chr-X
XIAP,chr-X
XK,chr-X
ZBED1,chr-X
ZCCHC18,chr-X
ZDHHC15,chr-X
ZFP92,chr-X
ZNF41,chr-X
ZNF75D,chr-X
ZXDA,chr-X
ACOT9,chr-X
AKAP17A,chr-X
ALAS2,chr-X
AMELY,chr-Y
AMOT,chr-X
ARHGEF9-IT1,chr-X
ARSD-AS1,chr-X
ASMTL,chr-X
ASMTL-AS1,chr-X
BCORL1,chr-X
CAPN6,chr-X
CCNQ,chr-X
CITED1,chr-X
CLCN4,chr-X
CMC4,chr-X
CUL4B,chr-X
DANT2,chr-X
DIAPH2,chr-X
DLG3-AS1,chr-X
DRP2,chr-X
EMD,chr-X
F8A1,chr-X
FAM156B,chr-X
FAM9A,chr-X
FIRRE,chr-X
G6PD,chr-X
GEMIN8,chr-X
GJB1,chr-X
GPC3,chr-X
GRIA3,chr-X
HEPH,chr-X
HS6ST2,chr-X
KCND1,chr-X
KRBOX4,chr-X
LHFPL1,chr-X
LINC00106,chr-X
LINC00685,chr-X
LINC00891,chr-X
LINC01203,chr-X
LINC01456,chr-X
LINC01545,chr-X
LINC01546,chr-X
LINC02243,chr-X
MAGEB17,chr-X
MAGEC3,chr-X
MAGIX,chr-X
MAP3K15,chr-X
MAP7D2,chr-X
MSL3,chr-X
MTM1,chr-X
MTMR8,chr-X
NAA10,chr-X
NDP,chr-X
NHS,chr-X
NHS-AS1,chr-X
NKAP,chr-X
NOX1,chr-X
NSDHL,chr-X
NYX,chr-X
PABPC5,chr-X
PCSK1N,chr-X
PHF6,chr-X
PLP1,chr-X
PLP2,chr-X
PNCK,chr-X
PPP2R3B,chr-X
PRKX-AS1,chr-X
PRPS1,chr-X
PRPS2,chr-X
PRY2,chr-Y
RBM10,chr-X
RBM3,chr-X
RENBP,chr-X
RPGR,chr-X
RPS6KA6,chr-X
RTL5,chr-X
RTL9,chr-X
SLC16A2,chr-X
SLC25A5,chr-X
SLC35A2,chr-X
SLITRK2,chr-X
SMIM10L2B,chr-X
SMIM9,chr-X
SRPK3,chr-X
STS,chr-X
TAB3-AS2,chr-X
TCEAL3,chr-X
TIMM17B,chr-X
TMEM185A,chr-X
TMSB15A,chr-X
TRO,chr-X
TTTY10,chr-Y
UBQLN2,chr-X
UTY,chr-Y
UXT,chr-X
UXT-AS1,chr-X
VAMP7,chr-X
VEGFD,chr-X
VMA21,chr-X
WDR13,chr-X
ZC4H2,chr-X
ZNF674,chr-X
ZNF674-AS1,chr-X
ZRSR2,chr-X
ADGRG2,chr-X
ARAF,chr-X
ARHGAP36,chr-X
ARHGAP4,chr-X
ARMCX1,chr-X
ARMCX2,chr-X
ARSD,chr-X
ASB12,chr-X
ASB9,chr-X
ATP7A,chr-X
BEND2,chr-X
BEX1,chr-X
BEX5,chr-X
CCNB3,chr-X
CD40LG,chr-X
CDR1,chr-X
CFP,chr-X
COL4A6,chr-X
CYLC1,chr-X
CYSLTR1,chr-X
DACH2,chr-X
DAZ3,chr-Y
DAZ4,chr-Y
DGAT2L6,chr-X
DHRSX-IT1,chr-X
DMRTC1,chr-X
EDA,chr-X
EIF1AX-AS1,chr-X
FGF13-AS1,chr-X
FMR1-AS1,chr-X
FOXP3,chr-X
FRMD7,chr-X
FRMPD3-AS1,chr-X
FTSJ1,chr-X
GABRQ,chr-X
GAGE10,chr-X
GATA1,chr-X
GLRA4,chr-X
GLUD2,chr-X
GPC4,chr-X
GPKOW,chr-X
GPR101,chr-X
GRIPAP1,chr-X
IGBP1,chr-X
IGBP1-AS1,chr-X
IKBKG,chr-X
IL13RA2,chr-X
IL2RG,chr-X
IL9R,chr-X
IRAK1,chr-X
KCNE5,chr-X
KDM5C,chr-X
KDM5C-IT1,chr-X
LAS1L,chr-X
LINC00269,chr-X
LINC00278,chr-Y
LINC01186,chr-X
LINC01201,chr-X
LINC01283,chr-X
LINC01284,chr-X
LUZP4,chr-X
MAGEB10,chr-X
MAGEB3,chr-X
MBTPS2,chr-X
MID1IP1,chr-X
MIR503HG,chr-X
MMGT1,chr-X
MORF4L2-AS1,chr-X
NDP-AS1,chr-X
NEXMIF,chr-X
NLGN3,chr-X
NXF2B,chr-X
NXT2,chr-X
OTC,chr-X
OTUD6A,chr-X
PIGA,chr-X
PLAC1,chr-X
PLS3-AS1,chr-X
PNMA6A,chr-X
PNMA6F,chr-X
PRAF2,chr-X
PRRG3,chr-X
PWWP3B,chr-X
RAB39B,chr-X
RAB9B,chr-X
RADX,chr-X
RAI2,chr-X
RAP2C-AS1,chr-X
RTL3,chr-X
SASH3,chr-X
SLC38A5,chr-X
SLC6A14,chr-X
SOWAHD,chr-X
SYP-AS1,chr-X
TAF7L,chr-X
TAF9B,chr-X
TCEAL3-AS1,chr-X
TENT5D,chr-X
TKTL1,chr-X
TLR8,chr-X
TMEM187,chr-X
TMSB15B,chr-X
TNMD,chr-X
TREX2,chr-X
TRPC5,chr-X
TRPC5OS,chr-X
TXLNG,chr-X
UBL4A,chr-X
USP26,chr-X
USP27X,chr-X
VGLL1,chr-X
VSIG1,chr-X
XACT,chr-X
XIAP-AS1,chr-X
ZNF157,chr-X
ACE2,chr-X
APOO,chr-X
ASMT,chr-X
AWAT1,chr-X
CACNA1F,chr-X
CCDC120,chr-X
CCDC22,chr-X
CENPI,chr-X
CFAP47,chr-X
CRLF2,chr-X
CXorf38,chr-X
CXorf58,chr-X
CYBB,chr-X
DGKK,chr-X
DKC1,chr-X
DMD-AS3,chr-X
EBP,chr-X
EFHC2,chr-X
ELF4,chr-X
ELK1,chr-X
FAAH2,chr-X
FAM104B,chr-X
FAM120C,chr-X
FAM3A,chr-X
FAM50A,chr-X
FANCB,chr-X
FGD1,chr-X
GCNA,chr-X
GLA,chr-X
GLOD5,chr-X
GLRA2,chr-X
GPR173,chr-X
GPR174,chr-X
GPRASP2,chr-X
GRPR,chr-X
GSPT2,chr-X
GYG2,chr-X
HDAC6,chr-X
IGSF1,chr-X
INE1,chr-X
IQSEC2,chr-X
ITGB1BP2,chr-X
KIF4A,chr-X
LDOC1,chr-X
LINC00629,chr-X
LINC00850,chr-X
LINC01204,chr-X
LINC02595,chr-X
MAGEE1,chr-X
MAP7D3,chr-X
NAP1L2,chr-X
NKRF,chr-X
NUP62CL,chr-X
NXF5,chr-X
PBDC1,chr-X
PCDH11X,chr-X
PDZD11,chr-X
PHKA1-AS1,chr-X
PHKA2-AS1,chr-X
PLXNB3,chr-X
PNMA3,chr-X
PORCN,chr-X
PPP1R3F,chr-X
PQBP1,chr-X
PRICKLE3,chr-X
RAB33A,chr-X
RBMX2,chr-X
RHOXF1,chr-X
RIBC1,chr-X
RNF113A,chr-X
RPA4,chr-X
RPS4Y1,chr-Y
SCML2,chr-X
SEPTIN6,chr-X
SLC10A3,chr-X
SLC25A5-AS1,chr-X
SMC1A,chr-X
SMIM10,chr-X
SMIM10L2A,chr-X
SMIM10L2B-AS1,chr-X
SPIN2B,chr-X
SPIN3,chr-X
SPRY3,chr-X
SYAP1,chr-X
SYP,chr-X
SYTL5,chr-X
TBC1D25,chr-X
TBL1X,chr-X
TCEAL1,chr-X
TCEANC,chr-X
TEX11,chr-X
TFE3,chr-X
TIMM8A,chr-X
TMEM164,chr-X
TMLHE,chr-X
TRAPPC2,chr-X
TSPAN6,chr-X
TSR2,chr-X
USP11,chr-X
VCX3B,chr-X
WDR45,chr-X
WWC3-AS1,chr-X
XKRX,chr-X
YY2,chr-X
ZC3H12B,chr-X
ZMYM3,chr-X
ZNF182,chr-X
ZNF630,chr-X
ZNF711,chr-X
ZXDB,chr-X
ABCD1,chr-X
ADGRG4,chr-X
AFF2,chr-X
AKAP14,chr-X
AMER1,chr-X
APEX2,chr-X
APLN,chr-X
ARMCX3,chr-X
ARMCX6,chr-X
ARSF,chr-X
ARSH,chr-X
BTK,chr-X
CLCN5,chr-X
CLTRN,chr-X
CSTF2,chr-X
DCAF8L2,chr-X
DCX,chr-X
DIAPH2-AS1,chr-X
DYNLT3,chr-X
EFNB1,chr-X
F8A3,chr-X
F9,chr-X
FAM156A,chr-X
FAM9B,chr-X
FAM9C,chr-X
FMR1NB,chr-X
FOXO4,chr-X
FRMPD3,chr-X
FRMPD4,chr-X
GABRA3,chr-X
GABRE,chr-X
GDPD2,chr-X
GK-IT1,chr-X
GPR143,chr-X
GPR34,chr-X
GPR82,chr-X
GTPBP6,chr-X
HAUS7,chr-X
HCFC1,chr-X
HNRNPH2,chr-X
HPRT1,chr-X
HTATSF1,chr-X
INE2,chr-X
ITIH6,chr-X
KIAA1210,chr-X
KLHL15,chr-X
L1CAM,chr-X
LINC01282,chr-X
LINC01285,chr-X
LINC01560,chr-X
MAGT1,chr-X
MCF2,chr-X
MIR222HG,chr-X
MORC4,chr-X
MOSPD1,chr-X
MPP1,chr-X
NCBP2L,chr-X
PAK3,chr-X
PASD1,chr-X
PCDH19,chr-X
PCYT1B,chr-X
PFKFB1,chr-X
PHEX,chr-X
PIM2,chr-X
PINCR,chr-X
PJA1,chr-X
PNPLA4,chr-X
PPEF1,chr-X
PRKY,chr-Y
PSMD10,chr-X
PTCHD1,chr-X
RAB40A,chr-X
RHOXF1-AS1,chr-X
RS1,chr-X
RTL8B,chr-X
S100G,chr-X
SATL1,chr-X
SHROOM2,chr-X
SLC25A14,chr-X
SNX12,chr-X
SPACA5,chr-X
SPANXA2-OT1,chr-X
STK26,chr-X
SUV39H1,chr-X
SYN1,chr-X
TBL1Y,chr-Y
TBX22,chr-X
TCEAL2,chr-X
TCEAL4,chr-X
TCEAL8,chr-X
TLR7,chr-X
TMEM255A,chr-X
TMEM35A,chr-X
TRMT2B-AS1,chr-X
USP51,chr-X
USP9Y,chr-Y
WAS,chr-X
XG,chr-X
XPNPEP2,chr-X
ZBTB33,chr-X
ZNF185,chr-X
ZNF280C,chr-X
ZNF449,chr-X
ZNF630-AS1,chr-X
AGTR2,chr-X
AKAP4,chr-X
AMELX,chr-X
AMMECR1-IT1,chr-X
ANOS1,chr-X
ARMCX3-AS1,chr-X
ARX,chr-X
ATP1B4,chr-X
ATP2B3,chr-X
AWAT2,chr-X
BEX4,chr-X
BMP15,chr-X
BRS3,chr-X
C1GALT1C1,chr-X
CASK-AS1,chr-X
CCDC160,chr-X
CDX4,chr-X
CETN2,chr-X
CLDN34,chr-X
CSAG1,chr-X
CT45A10,chr-X
CT55,chr-X
CXCR3,chr-X
CXorf65,chr-X
DAZ1,chr-Y
DCAF12L2,chr-X
DDX3Y,chr-Y
EIF1AY,chr-Y
ERAS,chr-X
ERCC6L,chr-X
EZHIP,chr-X
FAM224B,chr-Y
FAM226B,chr-X
FATE1,chr-X
FGF13,chr-X
GPRASP1,chr-X
HSFY2,chr-Y
IL3RA,chr-X
KDM5D,chr-Y
LANCL3,chr-X
LINC00102,chr-X
LINC00892,chr-X
LINC01281,chr-X
LINC02154,chr-X
LRCH2,chr-X
MAGEA10,chr-X
MAGEA11,chr-X
MAGEA4-AS1,chr-X
MAGEB2,chr-X
MAGEE2,chr-X
MCTS1,chr-X
MED12,chr-X
MID1IP1-AS1,chr-X
NLGN4Y-AS1,chr-Y
NLRP2B,chr-X
NUDT10,chr-X
NUDT11,chr-X
NXF3,chr-X
OPN1LW,chr-X
OTUD5,chr-X
P2RY10,chr-X
P2RY4,chr-X
PABPC5-AS1,chr-X
PAGE2,chr-X
PAGE2B,chr-X
PCYT1B-AS1,chr-X
PGAM4,chr-X
PHEX-AS1,chr-X
PLCXD1,chr-X
PNMA5,chr-X
PNMA6E,chr-X
PRY,chr-Y
RHOXF2,chr-X
RIPPLY1,chr-X
RPS4Y2,chr-Y
SAGE1,chr-X
SERTM2,chr-X
SH2D1A,chr-X
SLC7A3,chr-X
SLC9A7,chr-X
SPANXN1,chr-X
SPANXN2,chr-X
SPANXN3,chr-X
SPANXN4,chr-X
SPIN2A,chr-X
SPIN4-AS1,chr-X
SSX1,chr-X
SSX2B,chr-X
SSX3,chr-X
SSX5,chr-X
SSX7,chr-X
TCEAL5,chr-X
TCEAL6,chr-X
TEX13D,chr-X
TMEM31,chr-X
TMSB15B-AS1,chr-X
TMSB4Y,chr-Y
TSPYL2,chr-X
TTTY13,chr-Y
TTTY14,chr-Y
TTTY18,chr-Y
VBP1,chr-X
VCX3A,chr-X
XAGE2,chr-X
ZDHHC9,chr-X
ZFX-AS1,chr-X
ZFY-AS1,chr-Y
ZIC3,chr-X
ZNF275,chr-X
