Gene	N_synonymous	N_missense	N_nonsense	N_splicing	Ratio_missense	Ratio_nonsense	Ratio_splicing	Pvalue	Qvalue	Condition	Pconvert	Qconvert	Genetype
RRN3	0	0	0	0	0	0	0	0.997999710263707	0.999999999999986	Normal	0.000869584795686607	6.17169578594108e-15	Other
HHIP	0	0	0	0	0	0	0	0.998003353869208	0.999999999999986	Normal	0.000867999229219267	6.17169578594108e-15	Other
GNPAT	0	0	0	0	0	0	0	0.99811473692412	0.999999999999986	Normal	0.000819532110566151	6.17169578594108e-15	Other
BEND4	0	0	0	0	0	0	0	0.998151495361166	0.999999999999986	Normal	0.00080353826554094	6.17169578594108e-15	Other
SLC27A2	0	0	0	0	0	0	0	0.998200448663535	0.999999999999986	Normal	0.000782239266476679	6.17169578594108e-15	Other
MPP7	0	0	0	0	0	0	0	0.998294672492624	0.999999999999986	Normal	0.000741246540139422	6.17169578594108e-15	Other
LRRC70	0	0	0	0	0	0	0	0.998342976348066	0.999999999999986	Normal	0.000720233115004905	6.17169578594108e-15	Other
MFSD1	0	0	0	0	0	0	0	0.998378579128776	0.999999999999986	Normal	0.000704745636380998	6.17169578594108e-15	Other
CDC20	0	0	0	0	0	0	0	0.998383448159224	0.999999999999986	Normal	0.000702627614276152	6.17169578594108e-15	Other
ZNF254	0	0	0	0	0	0	0	0.998460353589942	0.999999999999986	Normal	0.000669175218874333	6.17169578594108e-15	Other
AGER	0	0	0	0	0	0	0	0.998476247956534	0.999999999999986	Normal	0.000662261793882559	6.17169578594108e-15	Other
YARS	0	0	0	0	0	0	0	0.99849216472773	0.999999999999986	Normal	0.000655338734052065	6.17169578594108e-15	Other
PTDSS1	0	0	0	0	0	0	0	0.998537144113599	0.999999999999986	Normal	0.000635775376619688	6.17169578594108e-15	Other
NAPEPLD	0	0	0	0	0	0	0	0.998540576289791	0.999999999999986	Normal	0.000634282620313015	6.17169578594108e-15	Other
TMEM200A	0	0	0	0	0	0	0	0.998592798148965	0.999999999999986	Normal	0.000611570401320295	6.17169578594108e-15	Other
CPA4	0	0	0	0	0	0	0	0.998659931634239	0.999999999999986	Normal	0.000582374594718973	6.17169578594108e-15	Other
MAT1A	0	0	0	0	0	0	0	0.998689850611565	0.999999999999986	Normal	0.000569363707118248	6.17169578594108e-15	Other
MFSD11	0	0	0	0	0	0	0	0.998751782661791	0.999999999999986	Normal	0.000542432509503734	6.17169578594108e-15	Other
ICA1L	0	0	0	0	0	0	0	0.998766894652937	0.999999999999986	Normal	0.000535861302495913	6.17169578594108e-15	Other
PTGER2	0	0	0	0	0	0	0	0.998802904511042	0.999999999999986	Normal	0.000520203393893458	6.17169578594108e-15	Other
PSKH2	0	0	0	0	0	0	0	0.998847551384004	0.999999999999986	Normal	0.00050079069783575	6.17169578594108e-15	Other
RFC4	0	0	0	0	0	0	0	0.998912596321245	0.999999999999986	Normal	0.0004725103686264	6.17169578594108e-15	Other
CACNG3	0	0	0	0	0	0	0	0.99891591968132	0.999999999999986	Normal	0.000471065482911092	6.17169578594108e-15	Other
CIRBP	0	0	0	0	0	0	0	0.998924201240436	0.999999999999986	Normal	0.00046746495913744	6.17169578594108e-15	Other
HMGA1	0	0	0	0	0	0	0	0.998927702739801	0.999999999999986	Normal	0.000465942642243637	6.17169578594108e-15	Other
RNF144A	0	0	0	0	0	0	0	0.999012262311334	0.999999999999986	Normal	0.0004291810218012	6.17169578594108e-15	Other
CXCR1	0	0	0	0	0	0	0	0.999042364741943	0.999999999999986	Normal	0.000416094973672952	6.17169578594108e-15	Other
OR2T4	0	0	0	0	0	0	0	0.999068963342598	0.999999999999986	Normal	0.000404532429255233	6.17169578594108e-15	Other
ICMT	0	0	0	0	0	0	0	0.999081065314209	0.999999999999986	Normal	0.00039927174370534	6.17169578594108e-15	Other
LDHC	0	0	0	0	0	0	0	0.999100727486505	0.999999999999986	Normal	0.000390724800718099	6.17169578594108e-15	Other
GOLPH3L	0	0	0	0	0	0	0	0.999182500725098	0.999999999999986	Normal	0.000355180623790008	6.17169578594108e-15	Other
CRISP1	0	0	0	0	0	0	0	0.999288582601623	0.999999999999986	Normal	0.00030907460401063	6.17169578594108e-15	Other
EFNA4	0	0	0	0	0	0	0	0.999319360842714	0.999999999999986	Normal	0.000295698473575894	6.17169578594108e-15	Other
CIDEB	0	0	0	0	0	0	0	0.999350346185615	0.999999999999986	Normal	0.000282232753456652	6.17169578594108e-15	Other
GSTA1	0	0	0	0	0	0	0	0.999455047834155	0.999999999999986	Normal	0.00023673422880337	6.17169578594108e-15	Other
NANOGNB	0	0	0	0	0	0	0	0.999458845148642	0.999999999999986	Normal	0.000235084180010601	6.17169578594108e-15	Other
LCE2C	0	0	0	0	0	0	0	0.999619263369414	0.999999999999986	Normal	0.000165383303461019	6.17169578594108e-15	Other
LRRC70	0	0	1	0	0	2637.2441794929	2637.2441794929	0.00102493403709714	0.999989569561842	Disease	2.98930408411706	4.52990536018046e-06	Other
ICA1L	0	0	1	0	0	1893.65945128652	1893.65945128652	0.00142856459110585	0.999989569561842	Disease	2.84510011865073	4.52990536018046e-06	Other
ZNF254	0	0	1	0	0	1773.5559673241	1773.5559673241	0.0015232599185333	0.999989569561842	Disease	2.81722598533528	4.52990536018046e-06	Other
MPP7	0	0	1	0	0	1531.13601605328	1531.13601605328	0.00176547840607111	0.999989569561842	Disease	2.75313759001338	4.52990536018046e-06	Other
GNPAT	0	0	0	1	0	1449.3056831746	1449.3056831746	0.00186313285770767	0.999989569561842	Disease	2.72975617499531	4.52990536018046e-06	Other
ATN1	0	0	0	1	0	1417.58791975639	1417.58791975639	0.0018942096144815	0.999989569561842	Disease	2.72257196336047	4.52990536018046e-06	Other
BRINP1	0	0	1	0	0	1422.19337509771	1422.19337509771	0.001897789005746	0.999989569561842	Disease	2.72175207364419	4.52990536018046e-06	Other
TGM6	0	0	1	0	0	1375.86190882401	1375.86190882401	0.00196207365263779	0.999989569561842	Disease	2.70728469403365	4.52990536018046e-06	Other
LCE2C	0	1	0	0	877.862364597647	0	0	0.0030928224349791	0.999989569561842	Disease	2.50964501298175	4.52990536018046e-06	Other
IGDCC4	0	0	1	0	0	867.53729049515	867.53729049515	0.00309412102081974	0.999989569561842	Disease	2.50946270367921	4.52990536018046e-06	Other
NANOGNB	0	1	0	0	649.112251149208	0	0	0.004180073379208	0.999989569561842	Disease	2.37881609432415	4.52990536018046e-06	Other
CIDEB	0	1	0	0	527.831717853143	0	0	0.00513889057662709	0.999989569561842	Disease	2.28913062973125	4.52990536018046e-06	Other
GSTA1	0	1	0	0	526.199900671147	0	0	0.0051549723703469	0.999989569561842	Disease	2.2877736581085	4.52990536018046e-06	Other
EFNA4	0	1	0	0	506.493828070027	0	0	0.00535500486460672	0.999989569561842	Disease	2.27124013030908	4.52990536018046e-06	Other
RP11-1220K2.2	0	0	1	0	0	462.196742028469	462.196742028469	0.00573539808904755	0.999989569561842	Disease	2.24143643271014	4.52990536018046e-06	Other
CRISP1	0	1	0	0	440.28248137185	0	0	0.00615804001339937	0.999989569561842	Disease	2.21055749348704	4.52990536018046e-06	Other
IGF2R	0	0	0	1	0	416.147501445367	416.147501445367	0.00637332482483444	0.999989569561842	Disease	2.19563394656984	4.52990536018046e-06	Other
ZFHX4	0	0	1	0	0	411.192294878882	411.192294878882	0.0063873950108515	0.999989569561842	Disease	2.19467622526546	4.52990536018046e-06	Other
ICMT	0	1	0	0	402.023025382533	0	0	0.00674290016377754	0.999989569561842	Disease	2.17115327049413	4.52990536018046e-06	Other
RNF144A	0	1	0	0	397.940633769787	0	0	0.00681140719563644	0.999989569561842	Disease	2.16676315619781	4.52990536018046e-06	Other
GOLPH3L	0	1	0	0	393.27608801463	0	0	0.00689250493430382	0.999989569561842	Disease	2.16162291431321	4.52990536018046e-06	Other
CACNG3	0	1	0	0	358.879337991754	0	0	0.0075515662004253	0.999989569561842	Disease	2.12196296603158	4.52990536018046e-06	Other
LDHC	0	1	0	0	334.40821610694	0	0	0.00810220389679084	0.999989569561842	Disease	2.09139683173538	4.52990536018046e-06	Other
CIRBP	0	1	0	0	332.220414651974	0	0	0.00815539388649777	0.999989569561842	Disease	2.08855505870691	4.52990536018046e-06	Other
CXCR1	0	1	0	0	330.236795119901	0	0	0.0082050331589788	0.999989569561842	Disease	2.0859196594942	4.52990536018046e-06	Other
RFC4	0	1	0	0	323.155221395938	0	0	0.00838210120202154	0.999989569561842	Disease	2.07664709997865	4.52990536018046e-06	Other
HMGA1	0	1	0	0	314.086911782898	0	0	0.00862527059122453	0.999989569561842	Disease	2.06422727139297	4.52990536018046e-06	Other
PTGER2	0	1	0	0	313.454549157821	0	0	0.00864226912558463	0.999989569561842	Disease	2.0633722136165	4.52990536018046e-06	Other
OR2T4	0	1	0	0	299.108393199544	0	0	0.00905610081929886	0.999989569561842	Disease	2.04305875123736	4.52990536018046e-06	Other
PSKH2	0	1	0	0	281.367318576836	0	0	0.0096236982966823	0.999989569561842	Disease	2.01665800060378	4.52990536018046e-06	Other
CPA4	0	1	0	0	271.859399594646	0	0	0.00995765212003441	0.999989569561842	Disease	2.00184305028274	4.52990536018046e-06	Other
MAT1A	0	1	0	0	264.520132952664	0	0	0.0102338025626637	0.999989569561842	Disease	1.98996296598153	4.52990536018046e-06	Other
MFSD11	0	1	0	0	249.031185351329	0	0	0.0108674375782137	0.999989569561842	Disease	1.96387284568649	4.52990536018046e-06	Other
AGER	0	1	0	0	245.701087421307	0	0	0.0110126941629144	0.999989569561842	Disease	1.95810642154117	4.52990536018046e-06	Other
NAPEPLD	0	1	0	0	243.45773445116	0	0	0.011114458354189	0.999989569561842	Disease	1.95411169711422	4.52990536018046e-06	Other
PTDSS1	0	1	0	0	241.5599564671	0	0	0.0111997645617489	0.999989569561842	Disease	1.95079110684839	4.52990536018046e-06	Other
CDC20	0	1	0	0	225.722687238965	0	0	0.0119827506423567	0.999989569561842	Disease	1.92144347813388	4.52990536018046e-06	Other
YARS	0	1	0	0	224.53965171531	0	0	0.0120455092627936	0.999989569561842	Disease	1.91917483407612	4.52990536018046e-06	Other
MFSD1	0	1	0	0	220.791063154475	0	0	0.0122488880709913	0.999989569561842	Disease	1.91190333387501	4.52990536018046e-06	Other
BEND4	0	1	0	0	209.573722727512	0	0	0.012902714890483	0.999989569561842	Disease	1.88931889916568	4.52990536018046e-06	Other
FARSA	0	1	0	0	205.178745253064	0	0	0.0131757913112435	0.999989569561842	Disease	1.88022329248836	4.52990536018046e-06	Other
TMEM200A	9	0	0	0	0	0	0	0.013389540059413	0.999989569561842	Disease	1.87323434106788	4.52990536018046e-06	Other
FXR1	0	1	0	0	182.481784343045	0	0	0.0148041897557125	0.999989569561842	Disease	1.82961535688342	4.52990536018046e-06	Other
RRN3	0	1	0	0	182.147690220262	0	0	0.0148315446010108	0.999989569561842	Disease	1.82881361790187	4.52990536018046e-06	Other
SLC27A2	0	1	0	0	179.583874450439	0	0	0.0150452611652645	0.999989569561842	Disease	1.82260026909713	4.52990536018046e-06	Other
OAS2	0	1	0	0	172.784663579989	0	0	0.0156309831402324	0.999989569561842	Disease	1.80601370534934	4.52990536018046e-06	Other
TGM3	0	1	0	0	163.823138017925	0	0	0.016481117870554	0.999989569561842	Disease	1.78301333459594	4.52990536018046e-06	Other
NCL	0	1	0	0	160.751983113164	0	0	0.0167931156496135	0.999989569561842	Disease	1.77486872113981	4.52990536018046e-06	Other
HHIP	0	1	0	0	159.379554870674	0	0	0.0169380179271543	0.999989569561842	Disease	1.77113741181304	4.52990536018046e-06	Other
ACSS3	0	1	0	0	156.167004642408	0	0	0.0172833123740546	0.999989569561842	Disease	1.76237302065832	4.52990536018046e-06	Other
GPD2	0	1	0	0	152.504815859044	0	0	0.0176952382375488	0.999989569561842	Disease	1.75214358591958	4.52990536018046e-06	Other
DPP3	0	1	0	0	147.193840670997	0	0	0.0183266877195393	0.999989569561842	Disease	1.73691602031401	4.52990536018046e-06	Other
TTK	0	1	0	0	141.824135106009	0	0	0.01901399313223	0.999989569561842	Disease	1.72092666729127	4.52990536018046e-06	Other
TTC13	0	1	0	0	136.516776749915	0	0	0.0197477421128796	0.999989569561842	Disease	1.70448255289694	4.52990536018046e-06	Other
GRM8	0	1	0	0	125.983995347868	0	0	0.0213894289186014	0.999989569561842	Disease	1.6698008106043	4.52990536018046e-06	Other
GPR110	0	1	0	0	125.848184137581	0	0	0.0214136684130014	0.999989569561842	Disease	1.66930892658452	4.52990536018046e-06	Other
ATP2C1	0	1	0	0	118.015322946269	0	0	0.0228162557658772	0.999989569561842	Disease	1.6417556234426	4.52990536018046e-06	Other
IDE	0	1	0	0	114.995232120287	0	0	0.0234072234374254	0.999989569561842	Disease	1.63065009921754	4.52990536018046e-06	Other
EPHA1	0	1	0	0	114.007684204951	0	0	0.0236119078238664	0.999989569561842	Disease	1.62686892084574	4.52990536018046e-06	Other
CACNA2D1	0	1	0	0	110.72955925782	0	0	0.0242926975567704	0.999989569561842	Disease	1.61452425674811	4.52990536018046e-06	Other
FAM179A	0	1	0	0	109.996881558046	0	0	0.0244675421794753	0.999989569561842	Disease	1.61140965433035	4.52990536018046e-06	Other
SUPT5H	0	1	0	0	99.5288428316866	0	0	0.0270047523240897	0.999989569561842	Disease	1.5685598015257	4.52990536018046e-06	Other
PDE3A	0	1	0	0	97.1905110031519	0	0	0.0276562592881799	0.999989569561842	Disease	1.558206561767	4.52990536018046e-06	Other
IGSF3	0	1	0	0	96.8688160647799	0	0	0.0277402113605892	0.999989569561842	Disease	1.55689023423649	4.52990536018046e-06	Other
SEC31B	0	1	0	0	95.7268775073973	0	0	0.0280679470597583	0.999989569561842	Disease	1.55178935128518	4.52990536018046e-06	Other
DGKH	0	1	0	0	94.035379347772	0	0	0.0285622560803506	0.999989569561842	Disease	1.54420749141444	4.52990536018046e-06	Other
ZMYND8	0	1	0	0	93.7218187180015	0	0	0.0286618402987695	0.999989569561842	Disease	1.54269592817657	4.52990536018046e-06	Other
REV1	0	1	0	0	92.2263627820618	0	0	0.0291236728444105	0.999989569561842	Disease	1.53575385616272	4.52990536018046e-06	Other
KTN1	0	1	0	0	91.0159737502038	0	0	0.0294815917893543	0.999989569561842	Disease	1.53044907146869	4.52990536018046e-06	Other
DENND5A	0	1	0	0	87.8758556478296	0	0	0.0305454276851131	0.999989569561842	Disease	1.51505378966819	4.52990536018046e-06	Other
ASTN2	0	1	0	0	84.7501210635383	0	0	0.0316586274961211	0.999989569561842	Disease	1.49950791713575	4.52990536018046e-06	Other
AOX1	0	1	0	0	84.0292914527301	0	0	0.0319202006083716	0.999989569561842	Disease	1.49593438790918	4.52990536018046e-06	Other
SALL1	0	1	0	0	83.6359900102862	0	0	0.032093795878121	0.999989569561842	Disease	1.49357891389768	4.52990536018046e-06	Other
PTPRJ	0	1	0	0	82.6409180934276	0	0	0.0324549901188753	0.999989569561842	Disease	1.48871851875651	4.52990536018046e-06	Other
MTUS2	0	1	0	0	82.562354986261	0	0	0.0324938440962553	0.999989569561842	Disease	1.48819890758279	4.52990536018046e-06	Other
RIMS2	0	1	0	0	79.6697593653494	0	0	0.0336376512391583	0.999989569561842	Disease	1.47317433658057	4.52990536018046e-06	Other
GPATCH8	0	1	0	0	72.2642060057116	0	0	0.0370578381452747	0.999989569561842	Disease	1.43111991985153	4.52990536018046e-06	Other
BTAF1	0	1	0	0	63.7717338472495	0	0	0.0418827644144351	0.999989569561842	Disease	1.37796466103539	4.52990536018046e-06	Other
COL22A1	0	1	0	0	60.7795942955663	0	0	0.0439024695952073	0.999989569561842	Disease	1.35751104920197	4.52990536018046e-06	Other
NAV1	0	1	0	0	59.0175925730546	0	0	0.0452190504798515	0.999989569561842	Disease	1.34467856131154	4.52990536018046e-06	Other
