"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","hitsPerc","Condition","genes","GO_Group"
"28","GO:0042641",0.00206467474546215,0.999960780239886,2,71,"actomyosin","CC",2.8169014084507,"Control","FLNB, XIRP2","Cytoskeletal Organization"
"29","GO:0042805",0.0162172640816552,0.999123988173064,2,36,"actinin binding","MF",5.55555555555556,"Control","TTN, XIRP2","Cytoskeletal Organization"
"30","GO:0043292",0.000804785545966681,0.999948302489106,4,241,"contractile fiber","CC",1.6597510373444,"Control","FLNB, TTN, FXR1, XIRP2","Cytoskeletal Organization"
"31","GO:0045216",0.0135553831832089,0.999310741980819,2,206,"cell-cell junction organization","BP",0.970873786407767,"Control","DSP, XIRP2","Cytoskeletal Organization"
"32","GO:0048644",0.00162127245607044,0.999924622129425,3,80,"muscle organ morphogenesis","BP",3.75,"Control","DSP, TTN, XIRP2","Heart Muscle Development"
"33","GO:0048729",0.0326325868795107,0.995333709845656,3,622,"tissue morphogenesis","BP",0.482315112540193,"Control","DSP, TTN, XIRP2","Morphogenesis"
"34","GO:0048738",0.00769893274063374,0.999364545771203,3,243,"cardiac muscle tissue development","BP",1.23456790123457,"Control","DSP, TTN, XIRP2","Heart Muscle Development"
"35","GO:0051015",0.00681791925946235,0.999462498546729,3,203,"actin filament binding","MF",1.47783251231527,"Control","FLNB, TTN, XIRP2","Cytoskeletal Organization"
"36","GO:0051046",0.0221817237321843,0.997268918153548,3,605,"regulation of secretion","BP",0.495867768595041,"Control","TTN, PCLO, RIC1","Cytoskeletal Organization"
"37","GO:0051393",0.0153461643381945,0.999204648067973,2,28,"alpha-actinin binding","MF",7.14285714285714,"Control","TTN, XIRP2","Cytoskeletal Organization"
"38","GO:0055008",0.00136748154571841,0.999940578540976,3,61,"cardiac muscle tissue morphogenesis","BP",4.91803278688525,"Control","DSP, TTN, XIRP2","Heart Muscle Development"
"39","GO:0060047",0.0498674298190702,0.994891726130602,2,241,"heart contraction","BP",0.829875518672199,"Control","DSP, TTN","Contractility"
"40","GO:0060048",0.0335253653881939,0.997248230491598,2,137,"cardiac muscle contraction","BP",1.45985401459854,"Control","DSP, TTN","Contractility"
"41","GO:0060415",0.00153382142145661,0.999930231859706,3,73,"muscle tissue morphogenesis","BP",4.10958904109589,"Control","DSP, TTN, XIRP2","Heart Muscle Development"
"42","GO:0060537",0.000160650730040772,0.999990047798917,5,423,"muscle tissue development","BP",1.18203309692671,"Control","DSP, FLNB, TTN, GPCPD1, XIRP2","Heart Muscle Development"
"43","GO:0060538",0.000350722911095806,0.999990293385957,3,170,"skeletal muscle organ development","BP",1.76470588235294,"Control","FLNB, FXR1, GPCPD1","Heart Muscle Development"
"44","GO:0061061",4.1359359804172e-06,0.999999789526652,7,671,"muscle structure development","BP",1.04321907600596,"Control","DSP, FLNB, PTGFRN, TTN, FXR1, GPCPD1, XIRP2","Heart Muscle Development"
"45","GO:0070161",0.0387692914129155,0.994061815625508,3,871,"anchoring junction","CC",0.34443168771527,"Control","DSP, FLNB, XIRP2","Cell Junction"
"46","GO:0099081",0.00279047161831715,0.999668271050095,5,989,"supramolecular polymer","CC",0.505561172901921,"Control","DSP, FLNB, TTN, FXR1, XIRP2","Cytoskeletal Organization"
"47","GO:0099512",0.00267050944758133,0.999685835532883,5,981,"supramolecular fiber","CC",0.509683995922528,"Control","DSP, FLNB, TTN, FXR1, XIRP2","Cytoskeletal Organization"
"48","GO:0099568",0.0295409379427121,0.997724939889602,2,250,"cytoplasmic region","CC",0.8,"Control","PCLO, DNHD1","Cytoskeletal Organization"
"49","GO:0140352",0.0473942915702756,0.9921338163132,3,883,"export from cell","BP",0.339750849377123,"Control","TTN, PCLO, RIC1","Tranportation"
"50","GO:1902414",0.00591730336581889,0.999805861701428,2,105,"protein localization to cell junction","BP",1.9047619047619,"Control","DSP, PCLO","Cell Junction"
"51","GO:1903530",0.019009968198284,0.997793832578409,3,553,"regulation of secretion by cell","BP",0.54249547920434,"Control","TTN, PCLO, RIC1","Tranportation"
"52","GO:0000139",0.0327299408290125,0.99308190448583,4,645,"Golgi membrane","CC",0.62015503875969,"IHD","IGF2R, DENND5A, ATP2C1, ARHGAP21","Golgi Vesicle Transport"
"53","GO:0000375",0.0117337487940877,0.99875993018542,3,303,"RNA splicing, via transesterification reactions","BP",0.99009900990099,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"54","GO:0000377",0.0114751529362672,0.998797273842657,3,299,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",1.00334448160535,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"55","GO:0000398",0.0114751529362672,0.998797273842657,3,299,"mRNA splicing, via spliceosome","BP",1.00334448160535,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"56","GO:0003729",0.0446710953499186,0.992126859369356,3,595,"mRNA binding","MF",0.504201680672269,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"57","GO:0003730",0.0405107841855189,0.996054251920328,2,256,"mRNA 3'-UTR binding","MF",0.78125,"IHD","CIRBP, FXR1","RNA Splicing"
"58","GO:0005681",0.0339085580505462,0.997005661262147,2,196,"spliceosomal complex","CC",1.02040816326531,"IHD","CIRBP, NCL","RNA Splicing"
"59","GO:0005802",0.0143260445129061,0.998372668221477,3,236,"trans-Golgi network","CC",1.27118644067797,"IHD","IGF2R, DENND5A, ATP2C1","Golgi Vesicle Transport"
"60","GO:0006397",0.044597523112075,0.992151002649529,3,468,"mRNA processing","BP",0.641025641025641,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"61","GO:0006518",0.0478631473864461,0.988576593918365,4,929,"peptide metabolic process","BP",0.430570505920344,"IHD","CIRBP, IDE, NCL, FXR1","Metabolic Process"
"62","GO:0006892",0.0268611450510281,0.99792244680611,2,97,"post-Golgi vesicle-mediated transport","BP",2.06185567010309,"IHD","VPS13A, ATP2C1","Golgi Vesicle Transport"
"63","GO:0006986",0.0176514437902821,0.998903358141065,2,131,"response to unfolded protein","BP",1.52671755725191,"IHD","ERP44, CREB3L2","Protein Binding"
"64","GO:0007017",0.0377691646333699,0.98997982176079,5,857,"microtubule-based process","BP",0.58343057176196,"IHD","KTN1, VPS13A, ARHGAP21, NAV3, NAV1, TOGARAM2","Microtubule"
"65","GO:0007018",0.0484599534942978,0.991194503605883,3,366,"microtubule-based movement","BP",0.819672131147541,"IHD","KTN1, VPS13A, ARHGAP21","Microtubule"
"66","GO:0008286",0.0304311687253402,0.997475881938512,2,122,"insulin receptor signaling pathway","BP",1.63934426229508,"IHD","IDE, NCL","Metabolic Process"
"67","GO:0008380",0.0384861205495148,0.993609419530463,3,442,"RNA splicing","BP",0.678733031674208,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"68","GO:0009411",0.0278650438895822,0.997791305031758,2,145,"response to UV","BP",1.37931034482759,"IHD","CIRBP, REV1","Cellular Respose to Stress"
"69","GO:0010494",0.0163825366794946,0.999026916923582,2,87,"cytoplasmic stress granule","CC",2.29885057471264,"IHD","CIRBP, FXR1","Cellular Respose to Stress"
"70","GO:0017148",0.0117958259380232,0.998750917568121,3,304,"negative regulation of translation","BP",0.986842105263158,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"71","GO:0030674",0.010714261957269,0.998386025125792,4,401,"protein-macromolecule adaptor activity","MF",0.997506234413965,"IHD","FXR1, ZZEF1, WNK1, MPP7","Protein Binding"
"72","GO:0033120",0.00251367682848024,0.999944241389806,2,45,"positive regulation of RNA splicing","BP",4.44444444444444,"IHD","CIRBP, NCL","RNA Splicing"
"73","GO:0034249",0.0154943398802705,0.998183813811772,3,332,"negative regulation of amide metabolic process","BP",0.903614457831325,"IHD","CIRBP, NCL, FXR1","Metabolic Process"
"74","GO:0034250",0.0338161579428456,0.997022708044902,2,162,"positive regulation of amide metabolic process","BP",1.23456790123457,"IHD","CIRBP, FXR1","Metabolic Process"
"75","GO:0035064",0.0134596169549167,0.999280328850954,2,78,"methylated histone binding","MF",2.56410256410256,"IHD","ZZEF1, ZMYND8","Histone Binding"
"76","GO:0035770",0.0203022696185082,0.997370305937067,3,260,"ribonucleoprotein granule","CC",1.15384615384615,"IHD","CIRBP, NCL, FXR1","Ribonuclei Protein"
"77","GO:0035966",0.0262707720517577,0.99798134672924,2,152,"response to topologically incorrect protein","BP",1.31578947368421,"IHD","ERP44, CREB3L2","Protein Binding"
"78","GO:0036464",0.0179228769866384,0.997785979036655,3,243,"cytoplasmic ribonucleoprotein granule","CC",1.23456790123457,"IHD","CIRBP, NCL, FXR1","Ribonuclei Protein"
"79","GO:0042393",0.0217396461958421,0.997111901086442,3,241,"histone binding","MF",1.2448132780083,"IHD","ZZEF1, ZMYND8, KMT2C","Histone Binding"
"80","GO:0042562",0.0114717867085436,0.999435135909146,2,83,"hormone binding","MF",2.40963855421687,"IHD","IDE, PDE3A","Metabolic Process"
"81","GO:0043244",0.0378109131902648,0.996476706584839,2,114,"regulation of protein-containing complex disassembly","BP",1.75438596491228,"IHD","WNK1, NAV3","Protein Binding"
"82","GO:0043484",0.00622497727616911,0.999480124372389,3,178,"regulation of RNA splicing","BP",1.68539325842697,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"83","GO:0045727",0.0239370367986099,0.998251779473906,2,135,"positive regulation of translation","BP",1.48148148148148,"IHD","CIRBP, FXR1","RNA Splicing"
"84","GO:0048024",0.000859602267680221,0.999964575356168,3,105,"regulation of mRNA splicing, via spliceosome","BP",2.85714285714286,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"85","GO:0048026",0.000665661404056432,0.99999259276244,2,31,"positive regulation of mRNA splicing, via spliceosome","BP",6.45161290322581,"IHD","CIRBP, NCL","RNA Splicing"
"86","GO:0048193",0.0201429498389247,0.997397233652055,3,283,"Golgi vesicle transport","BP",1.06007067137809,"IHD","VPS13A, ATP2C1, CREB3L2","Golgi Vesicle Transport"
"87","GO:0050684",0.0013961871760254,0.999931661385792,3,127,"regulation of mRNA processing","BP",2.36220472440945,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"88","GO:0050685",0.00095867290874251,0.999987079690455,2,36,"positive regulation of mRNA processing","BP",5.55555555555556,"IHD","CIRBP, NCL","RNA Splicing"
"89","GO:0051668",0.0423518614271949,0.990289127576878,4,655,"localization within membrane","BP",0.610687022900763,"IHD","FXR1, ZMYND8, ATP2C1, WNK1","Plasma Membrane"
"90","GO:0070577",0.00340016130528428,0.999914435807342,2,25,"lysine-acetylated histone binding","MF",8,"IHD","ZZEF1, ZMYND8","Histone Binding"
"91","GO:0071417",0.0420295408977031,0.990387426995518,4,634,"cellular response to organonitrogen compound","BP",0.630914826498423,"IHD","CACNA2D1, IDE, NCL, PDE3A","Cellular Respose to Stress"
"92","GO:0098791",0.037282097645521,0.993891699145418,3,354,"Golgi apparatus subcompartment","CC",0.847457627118644,"IHD","IGF2R, DENND5A, ATP2C1","Golgi Vesicle Transport"
"93","GO:0140030",0.00716402768482508,0.999370697571003,3,173,"modification-dependent protein binding","MF",1.73410404624277,"IHD","IDE, ZZEF1, ZMYND8","Protein Binding"
"94","GO:0140033",0.00340016130528428,0.999914435807342,2,25,"acetylation-dependent protein binding","MF",8,"IHD","ZZEF1, ZMYND8","Protein Binding"
"95","GO:0140034",0.0142764117338579,0.999212340054832,2,80,"methylation-dependent protein binding","MF",2.5,"IHD","ZZEF1, ZMYND8","Protein Binding"
"96","GO:0140693",0.0037508798135258,0.999899675736603,2,30,"molecular condensate scaffold activity","MF",6.66666666666667,"IHD","FXR1, WNK1","Protein Binding"
"97","GO:1901653",0.0384841935457665,0.993614845024327,3,368,"cellular response to peptide","BP",0.815217391304348,"IHD","CACNA2D1, IDE, NCL","Cellular Respose to Stress"
"98","GO:1901699",0.0487676955935315,0.988299940409469,4,664,"cellular response to nitrogen compound","BP",0.602409638554217,"IHD","CACNA2D1, IDE, NCL, PDE3A","Cellular Respose to Stress"
"99","GO:1903076",0.0199679681847867,0.998679357443105,2,106,"regulation of protein localization to plasma membrane","BP",1.88679245283019,"IHD","ATP2C1, WNK1","Plasma Membrane"
"100","GO:1903311",0.0208662083369643,0.997264522205308,3,345,"regulation of mRNA metabolic process","BP",0.869565217391304,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"101","GO:1903313",0.00365592241052401,0.999747482038187,3,193,"positive regulation of mRNA metabolic process","BP",1.55440414507772,"IHD","CIRBP, NCL, FXR1","RNA Splicing"
"102","GO:1904375",0.0305430013882864,0.9974587563189,2,135,"regulation of protein localization to cell periphery","BP",1.48148148148148,"IHD","ATP2C1, WNK1","Plasma Membrane"
"103","GO:1905475",0.00597447542301118,0.999508413145011,3,177,"regulation of protein localization to membrane","BP",1.69491525423729,"IHD","ZMYND8, ATP2C1, WNK1","Plasma Membrane"
