category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_pvalue_corrected
GO:0007292	0.0204710990830838	0.996094832506194	4	140	female gamete generation	BP	0.121188906571856
GO:0061333	0.0246743797935032	0.996461363099854	3	79	renal tubule morphogenesis	BP	0.123671097178316
GO:0033627	0.0250724720500156	0.99637826829948	3	83	cell adhesion mediated by integrin	BP	0.123671097178316
GO:0016746	0.0258625077738944	0.993449631659452	5	239	acyltransferase activity	MF	0.123671097178316
GO:0034502	0.0261082096159561	0.996165303906882	3	88	protein localization to chromosome	BP	0.123671097178316
GO:0005681	0.0264239241236949	0.994533066698605	4	189	spliceosomal complex	CC	0.123671097178316
GO:0015085	0.0264751064019578	0.993302216425574	5	139	calcium ion transmembrane transporter activity	MF	0.123671097178316
GO:0048477	0.0267396966872034	0.996036614831217	3	88	oogenesis	BP	0.123671097178316
GO:0005891	0.0280680589596111	0.995823264027539	3	52	voltage-gated calcium channel complex	CC	0.124389964751678
GO:0045132	0.0291747930356275	0.995522372452245	3	95	meiotic chromosome segregation	BP	0.124389964751678
GO:0006805	0.0294165457183022	0.995451359564584	3	123	xenobiotic metabolic process	BP	0.124389964751678
GO:0005201	0.0309232984553709	0.991832008990826	5	164	extracellular matrix structural constituent	MF	0.12712911587208
GO:0005245	0.0331914656307227	0.994735184932196	3	51	voltage-gated calcium channel activity	MF	0.132765862522891
GO:1902905	0.0362939002644034	0.991733324094279	4	164	positive regulation of supramolecular fiber organization	BP	0.141355190503466
GO:0048024	0.0383502571787977	0.993444765015334	3	107	regulation of mRNA splicing, via spliceosome	BP	0.145534309293899
GO:0016529	0.0410029527781881	0.99286655410708	3	71	sarcoplasmic reticulum	CC	0.150719159508134
GO:0007127	0.0426401631267832	0.992392526517787	3	117	meiosis I	BP	0.150719159508134
GO:0061326	0.0427716533739299	0.992379369498148	3	100	renal tubule development	BP	0.150719159508134
GO:0061982	0.0463076274337904	0.991460645469877	3	122	meiosis I cell cycle process	BP	0.159384392097697
GO:0017148	0.0560211698854905	0.98528927583054	4	264	negative regulation of translation	BP	0.188434844160286
GO:0010811	0.0591945414571576	0.987964455205689	3	122	positive regulation of cell-substrate adhesion	BP	0.194684269681318
GO:0016779	0.0605719920652966	0.98755444861706	3	134	nucleotidyltransferase activity	MF	0.194883800557911
GO:0007044	0.0639899188006015	0.986625518933783	3	96	cell-substrate junction assembly	BP	0.199629371737905
GO:0016528	0.0653003672629194	0.986264574089198	3	87	sarcoplasm	CC	0.199629371737905
GO:0005262	0.0669316131070566	0.981533477074428	4	123	calcium channel activity	MF	0.199629371737905
GO:0034704	0.0674423553168597	0.985676833822443	3	74	calcium channel complex	CC	0.199629371737905
GO:0051983	0.0700750598548471	0.98473952320634	3	126	regulation of chromosome segregation	BP	0.200929571375871
GO:0032414	0.0724616138169616	0.984038352195674	3	108	positive regulation of ion transmembrane transporter activity	BP	0.200929571375871
GO:2000113	0.0732923472161891	0.97897431751856	4	288	negative regulation of cellular macromolecule biosynthetic process	BP	0.200929571375871
GO:0150115	0.0733121409074123	0.983786064826957	3	103	cell-substrate junction organization	BP	0.200929571375871
GO:0009411	0.0766394372230792	0.98265490803238	3	147	response to UV	BP	0.201131706864658
GO:0008017	0.0784343360614798	0.9731492425493	5	255	microtubule binding	MF	0.201131706864658
GO:1903313	0.0797975811345908	0.981624676493633	3	157	positive regulation of mRNA metabolic process	BP	0.201131706864658
GO:0034249	0.0798487767379313	0.976428983685002	4	292	negative regulation of amide metabolic process	BP	0.201131706864658
GO:0051783	0.0801808831419922	0.981518990844236	3	143	regulation of nuclear division	BP	0.201131706864658
GO:0016247	0.08516783916537	0.979872218226466	3	144	channel regulator activity	MF	0.20545205038781
GO:0004713	0.0858267740231919	0.97423225999185	4	137	protein tyrosine kinase activity	MF	0.20545205038781
GO:0007188	0.0860677508381365	0.973988712158485	4	232	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	BP	0.20545205038781
GO:0032411	0.092253080798559	0.977514188906946	3	119	positive regulation of transporter activity	BP	0.216721523145821
GO:0071466	0.0958542622973987	0.97613833868128	3	189	cellular response to xenobiotic stimulus	BP	0.221048862080399
GO:0001952	0.0970822705082832	0.975814710004492	3	123	regulation of cell-matrix adhesion	BP	0.221048862080399
GO:0005802	0.11375897031559	0.962167706849659	4	233	trans-Golgi network	CC	0.253101809610359
GO:0072331	0.114579873269554	0.969274160139105	3	166	signal transduction by p53 class mediator	BP	0.253101809610359
GO:0097193	0.118667155283857	0.959887128264029	4	290	intrinsic apoptotic signaling pathway	BP	0.253490856008198
GO:0000070	0.122531693239626	0.958251525942197	4	188	mitotic sister chromatid segregation	BP	0.253490856008198
GO:0043488	0.123034254927663	0.96595565296554	3	181	regulation of mRNA stability	BP	0.253490856008198
GO:0030177	0.12341598657998	0.965880456112492	3	144	positive regulation of Wnt signaling pathway	BP	0.253490856008198
GO:0016573	0.124546768716022	0.965414379754456	3	151	histone acetylation	BP	0.253490856008198
GO:0000724	0.125032651949989	0.965209367104093	3	156	double-strand break repair via homologous recombination	BP	0.253490856008198
GO:0000725	0.128604981349334	0.963769114783275	3	159	recombinational repair	BP	0.25422440390064
GO:0050806	0.128899795247184	0.963626875368387	3	170	positive regulation of synaptic transmission	BP	0.25422440390064
GO:0010970	0.130547666867896	0.962986129599004	3	157	transport along microtubule	BP	0.25422440390064
GO:0006260	0.133511429680634	0.952972000701998	4	268	DNA replication	BP	0.254504084992176
GO:0018393	0.13413053127966	0.96151434261975	3	159	internal peptidyl-lysine acetylation	BP	0.254504084992176
GO:0006475	0.13687910659614	0.960371284903893	3	161	internal protein amino acid acetylation	BP	0.256431744002896
GO:0043487	0.139333522565753	0.959282616465392	3	192	regulation of RNA stability	BP	0.257767016746644
GO:0007160	0.141407628520543	0.949202906447822	4	234	cell-matrix adhesion	BP	0.258374432358523
GO:0008237	0.145752399584834	0.956562383125711	3	188	metallopeptidase activity	MF	0.26306530656775
GO:0061013	0.153701037886155	0.953084942134552	3	198	regulation of mRNA catabolic process	BP	0.267333648042232
GO:0034767	0.15410997197825	0.952966346354147	3	169	positive regulation of monoatomic ion transmembrane transport	BP	0.267333648042232
GO:0000075	0.154142462105498	0.952928425798154	3	179	cell cycle checkpoint signaling	BP	0.267333648042232
GO:0022843	0.156975367460654	0.951794589804341	3	138	voltage-gated monoatomic cation channel activity	MF	0.267333648042232
GO:0018394	0.157148833646447	0.951617508223883	3	170	peptidyl-lysine acetylation	BP	0.267333648042232
GO:0032271	0.16011590418	0.950266075996433	3	180	regulation of protein polymerization	BP	0.267956388576404
GO:0036464	0.161135936373648	0.939284657605524	4	243	cytoplasmic ribonucleoprotein granule	CC	0.267956388576404
GO:0031334	0.164153305244415	0.94843307670756	3	183	positive regulation of protein-containing complex assembly	BP	0.269940990846372
GO:0016054	0.168287801551528	0.946432258673622	3	243	organic acid catabolic process	BP	0.270723854669849
GO:0046395	0.168287801551528	0.946432258673622	3	243	carboxylic acid catabolic process	BP	0.270723854669849
GO:0140030	0.171446635184869	0.945126327861341	3	165	modification-dependent protein binding	MF	0.272839806530759
GO:0045732	0.176468945022832	0.942685489597368	3	200	positive regulation of protein catabolic process	BP	0.275662045514021
GO:0007369	0.176945231917784	0.942480510030152	3	191	gastrulation	BP	0.275662045514021
GO:0043484	0.180927134780615	0.940615973414084	3	180	regulation of RNA splicing	BP	0.277179531113398
GO:0048193	0.181665186993606	0.928364858823773	4	283	Golgi vesicle transport	BP	0.277179531113398
GO:0035770	0.183986060207612	0.927139211175145	4	261	ribonucleoprotein granule	CC	0.277179531113398
GO:0000819	0.185410632298827	0.926409132172598	4	237	sister chromatid segregation	BP	0.277179531113398
GO:0006909	0.187862440153723	0.937163200961627	3	228	phagocytosis	BP	0.278036411427511
GO:0005912	0.1908275794263	0.935835613301427	3	175	adherens junction	CC	0.279628532228637
GO:0061138	0.203124744641378	0.929660766258665	3	188	morphogenesis of a branching epithelium	BP	0.294177930167116
GO:0042383	0.204731937886574	0.929058544315818	3	135	sarcolemma	CC	0.294177930167116
GO:0099111	0.212474033982337	0.92485657739497	3	190	microtubule-based transport	BP	0.302366894513326
GO:0006473	0.218465599996384	0.921682025126754	3	204	protein acetylation	BP	0.307932464756807
GO:0001764	0.221196354101748	0.920344433682271	3	171	neuron migration	BP	0.308840192519422
GO:0090150	0.229686194958755	0.915579469358918	3	250	establishment of protein localization to membrane	BP	0.315881318685941
GO:0015980	0.230507989311362	0.915065423721921	3	292	energy derivation by oxidation of organic compounds	BP	0.315881318685941
GO:0099568	0.237269660351992	0.896397894684075	4	249	cytoplasmic region	CC	0.319782876346286
GO:0140014	0.237676462149266	0.896088253440997	4	275	mitotic nuclear division	BP	0.319782876346286
GO:0071695	0.241520821927493	0.909111992813984	3	233	anatomical structure maturation	BP	0.3216586529298
GO:0001763	0.243417358973903	0.90813421625323	3	203	morphogenesis of a branching structure	BP	0.3216586529298
GO:0030705	0.250257633540916	0.90430198904393	3	197	cytoskeleton-dependent intracellular transport	BP	0.322127087721748
GO:0043270	0.252332672548303	0.903040721777973	3	224	positive regulation of monoatomic ion transport	BP	0.322127087721748
GO:0010810	0.254578897683757	0.901778713376527	3	216	regulation of cell-substrate adhesion	BP	0.322127087721748
GO:0005244	0.254654522050301	0.90183199292806	3	187	voltage-gated monoatomic ion channel activity	MF	0.322127087721748
GO:0022832	0.254654522050301	0.90183199292806	3	187	voltage-gated channel activity	MF	0.322127087721748
GO:0006402	0.261540569003878	0.897674116899152	3	249	mRNA catabolic process	BP	0.328033934004864
GO:0034764	0.271821619679396	0.891683205339944	3	226	positive regulation of transmembrane transport	BP	0.33680362437383
GO:1901988	0.273428610464684	0.890634832196027	3	263	negative regulation of cell cycle phase transition	BP	0.33680362437383
GO:0034703	0.279459202479314	0.887244872273306	3	187	cation channel complex	CC	0.33680362437383
GO:0006401	0.279466838027098	0.869525287082008	4	298	RNA catabolic process	BP	0.33680362437383
GO:0051348	0.279911120256629	0.886727931686826	3	268	negative regulation of transferase activity	BP	0.33680362437383
GO:0140097	0.284126681462352	0.884252206098485	3	233	catalytic activity, acting on DNA	MF	0.339118942390549
GO:0051258	0.292535441066509	0.879006438435356	3	261	protein polymerization	BP	0.34570171124276
GO:0110053	0.294313619030998	0.877935713594034	3	247	regulation of actin filament organization	BP	0.34570171124276
GO:0043543	0.298026507651416	0.875623394231454	3	244	protein acylation	BP	0.347306481357555
GO:0060560	0.322200702449941	0.860142189885649	3	231	developmental growth involved in morphogenesis	BP	0.371807641726987
GO:0032838	0.326319866594124	0.857500748217476	3	211	plasma membrane bounded cell projection cytoplasm	CC	0.371807641726987
GO:0006898	0.32789849017441	0.856313753053151	3	252	receptor-mediated endocytosis	BP	0.371807641726987
GO:0006650	0.330368148773994	0.8545968322878	3	280	glycerophospholipid metabolic process	BP	0.371807641726987
GO:0007281	0.331612220999745	0.853749482122177	3	287	germ cell development	BP	0.371807641726987
GO:0051651	0.334690889727088	0.851860019515316	3	226	maintenance of location in cell	BP	0.372437982553451
GO:0042393	0.346187771725137	0.844028439973301	3	232	histone binding	MF	0.382356643397912
GO:0006302	0.349151149357904	0.841858898344325	3	274	double-strand break repair	BP	0.382773111888665
GO:0032412	0.35415617510392	0.838406478102667	3	267	regulation of monoatomic ion transmembrane transporter activity	BP	0.385405249377795
GO:0003018	0.357987758628392	0.83574262278875	3	262	vascular process in circulatory system	BP	0.386731301291986
GO:0006310	0.366803222200166	0.829437609685703	3	289	DNA recombination	BP	0.392762991865235
GO:0022898	0.369114575455302	0.827818881444806	3	277	regulation of transmembrane transporter activity	BP	0.392762991865235
GO:0000151	0.37153255987252	0.82603919648795	3	295	ubiquitin ligase complex	CC	0.392762991865235
GO:0000793	0.387859099989903	0.814279331315927	3	250	condensed chromosome	CC	0.407114516301458
GO:0072659	0.393914166574379	0.80971837498601	3	270	protein localization to plasma membrane	BP	0.410558427133859
GO:0048608	0.40044023791178	0.804739383249781	3	299	reproductive structure development	BP	0.414441644831772
GO:0006874	0.41816286815557	0.79117566673229	3	296	intracellular calcium ion homeostasis	BP	0.429778503382113
GO:0034702	0.485823524350973	0.735655205494212	3	293	ion channel complex	CC	0.495875045544442
GO:0005516	0.501001931090362	0.722840973996729	3	199	calmodulin binding	MF	0.507864971242285
GO:0030016	0.528553917852359	0.697729465114689	3	230	myofibril	CC	0.532149522735709
GO:0043292	0.540553571624173	0.6864954101673	3	239	contractile fiber	CC	0.540553571624173
